id,team_1,team_2,map_1,team_1_map_1_player_1,team_1_map_1_player_1_kd,team_1_map_1_player_1_adr,team_1_map_1_player_1_kast,team_1_map_1_player_1_rating,team_1_map_1_player_2,team_1_map_1_player_2_kd,team_1_map_1_player_2_adr,team_1_map_1_player_2_kast,team_1_map_1_player_2_rating,team_1_map_1_player_3,team_1_map_1_player_3_kd,team_1_map_1_player_3_adr,team_1_map_1_player_3_kast,team_1_map_1_player_3_rating,team_1_map_1_player_4,team_1_map_1_player_4_kd,team_1_map_1_player_4_adr,team_1_map_1_player_4_kast,team_1_map_1_player_4_rating,team_1_map_1_player_5,team_1_map_1_player_5_kd,team_1_map_1_player_5_adr,team_1_map_1_player_5_kast,team_1_map_1_player_5_rating,team_2_map_1_player_1,team_2_map_1_player_1_kd,team_2_map_1_player_1_adr,team_2_map_1_player_1_kast,team_2_map_1_player_1_rating,team_2_map_1_player_2,team_2_map_1_player_2_kd,team_2_map_1_player_2_adr,team_2_map_1_player_2_kast,team_2_map_1_player_2_rating,team_2_map_1_player_3,team_2_map_1_player_3_kd,team_2_map_1_player_3_adr,team_2_map_1_player_3_kast,team_2_map_1_player_3_rating,team_2_map_1_player_4,team_2_map_1_player_4_kd,team_2_map_1_player_4_adr,team_2_map_1_player_4_kast,team_2_map_1_player_4_rating,team_2_map_1_player_5,team_2_map_1_player_5_kd,team_2_map_1_player_5_adr,team_2_map_1_player_5_kast,team_2_map_1_player_5_rating,map_2,team_1_map_2_player_1,team_1_map_2_player_1_kd,team_1_map_2_player_1_adr,team_1_map_2_player_1_kast,team_1_map_2_player_1_rating,team_1_map_2_player_2,team_1_map_2_player_2_kd,team_1_map_2_player_2_adr,team_1_map_2_player_2_kast,team_1_map_2_player_2_rating,team_1_map_2_player_3,team_1_map_2_player_3_kd,team_1_map_2_player_3_adr,team_1_map_2_player_3_kast,team_1_map_2_player_3_rating,team_1_map_2_player_4,team_1_map_2_player_4_kd,team_1_map_2_player_4_adr,team_1_map_2_player_4_kast,team_1_map_2_player_4_rating,team_1_map_2_player_5,team_1_map_2_player_5_kd,team_1_map_2_player_5_adr,team_1_map_2_player_5_kast,team_1_map_2_player_5_rating,team_2_map_2_player_1,team_2_map_2_player_1_kd,team_2_map_2_player_1_adr,team_2_map_2_player_1_kast,team_2_map_2_player_1_rating,team_2_map_2_player_2,team_2_map_2_player_2_kd,team_2_map_2_player_2_adr,team_2_map_2_player_2_kast,team_2_map_2_player_2_rating,team_2_map_2_player_3,team_2_map_2_player_3_kd,team_2_map_2_player_3_adr,team_2_map_2_player_3_kast,team_2_map_2_player_3_rating,team_2_map_2_player_4,team_2_map_2_player_4_kd,team_2_map_2_player_4_adr,team_2_map_2_player_4_kast,team_2_map_2_player_4_rating,team_2_map_2_player_5,team_2_map_2_player_5_kd,team_2_map_2_player_5_adr,team_2_map_2_player_5_kast,team_2_map_2_player_5_rating,map_3,team_1_map_3_player_1,team_1_map_3_player_1_kd,team_1_map_3_player_1_adr,team_1_map_3_player_1_kast,team_1_map_3_player_1_rating,team_1_map_3_player_2,team_1_map_3_player_2_kd,team_1_map_3_player_2_adr,team_1_map_3_player_2_kast,team_1_map_3_player_2_rating,team_1_map_3_player_3,team_1_map_3_player_3_kd,team_1_map_3_player_3_adr,team_1_map_3_player_3_kast,team_1_map_3_player_3_rating,team_1_map_3_player_4,team_1_map_3_player_4_kd,team_1_map_3_player_4_adr,team_1_map_3_player_4_kast,team_1_map_3_player_4_rating,team_1_map_3_player_5,team_1_map_3_player_5_kd,team_1_map_3_player_5_adr,team_1_map_3_player_5_kast,team_1_map_3_player_5_rating,team_2_map_3_player_1,team_2_map_3_player_1_kd,team_2_map_3_player_1_adr,team_2_map_3_player_1_kast,team_2_map_3_player_1_rating,team_2_map_3_player_2,team_2_map_3_player_2_kd,team_2_map_3_player_2_adr,team_2_map_3_player_2_kast,team_2_map_3_player_2_rating,team_2_map_3_player_3,team_2_map_3_player_3_kd,team_2_map_3_player_3_adr,team_2_map_3_player_3_kast,team_2_map_3_player_3_rating,team_2_map_3_player_4,team_2_map_3_player_4_kd,team_2_map_3_player_4_adr,team_2_map_3_player_4_kast,team_2_map_3_player_4_rating,team_2_map_3_player_5,team_2_map_3_player_5_kd,team_2_map_3_player_5_adr,team_2_map_3_player_5_kast,team_2_map_3_player_5_rating
25 Mar 01:00 2363069,Limitless,Cartel terraza,Anubis,scar,17-19,71.9,78.6%,1.05,JBa,18-18,72.3,67.9%,1.02,Makzwell,15-18,55.6,67.9%,0.93,kmrn,16-16,61.4,60.7%,0.92,Grizz,14-23,65.7,57.1%,0.77,Marro,25-16,97.4,82.1%,1.51,pacmanN,19-15,78.7,78.6%,1.19,KOT3,19-15,75.7,75.0%,1.13,LegenD,15-17,52.8,75.0%,1.00,k1Nky,15-17,64.8,67.9%,0.94,Ancient,scar,25-20,91.9,70.0%,1.23,JBa,19-18,72.7,70.0%,1.08,Grizz,21-17,73.4,60.0%,1.03,kmrn,15-16,63.5,73.3%,1.02,Makzwell,18-18,55.9,70.0%,0.93,Marro,20-20,83.6,63.3%,1.15,pacmanN,24-21,80.5,70.0%,1.12,k1Nky,19-21,84.5,60.0%,1.05,KOT3,15-19,61.1,66.7%,0.93,LegenD,11-18,35.8,60.0%,0.70,Nuke,scar,24-13,96.7,83.3%,1.55,Grizz,21-12,93.1,83.3%,1.51,JBa,20-10,76.8,83.3%,1.30,kmrn,16-13,84.5,79.2%,1.24,Makzwell,13-8,66.2,83.3%,1.21,Marro,15-19,66.2,66.7%,0.83,pacmanN,10-17,52.0,58.3%,0.71,k1Nky,11-21,59.6,58.3%,0.68,KOT3,9-19,58.3,54.2%,0.63,LegenD,10-18,41.4,41.7%,0.58
25 Mar 01:30 2363066,Mythic,Tsunami,Mirage,hate,26-21,93.1,70.0%,1.31,Cooper,27-22,92.4,70.0%,1.24,fl0m,13-14,49.0,70.0%,0.87,Trucklover86,17-22,67.1,60.0%,0.83,freakazoid,18-23,59.0,66.7%,0.80,dea,35-16,111.4,83.3%,1.70,dAVE,26-19,67.8,76.7%,1.27,supa,18-24,74.1,76.7%,0.99,Magic,11-20,55.0,66.7%,0.77,Ethex,12-23,58.0,66.7%,0.67,Inferno,Cooper,22-10,90.3,79.2%,1.54,fl0m,21-19,92.0,75.0%,1.31,hate,19-15,83.0,79.2%,1.27,Trucklover86,17-15,69.6,87.5%,1.21,freakazoid,19-18,87.9,75.0%,1.18,supa,17-22,83.4,70.8%,1.02,dAVE,15-17,72.2,83.3%,1.00,dea,16-19,83.1,66.7%,0.93,Ethex,14-20,72.5,62.5%,0.78,Magic,14-20,55.0,66.7%,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25 Mar 00:30 2363268,Flamengo,RED Canids,Inferno,f4stzin,20-19,72.8,74.1%,1.10,n1ssim,20-19,78.7,74.1%,1.05,delboNi,15-20,56.8,70.4%,0.85,SHOOWTiME,10-21,73.7,66.7%,0.83,zqkS,13-20,52.2,66.7%,0.71,detr0ittJ,22-12,77.8,92.6%,1.44,realz1n,26-16,89.3,85.2%,1.42,ckzao,17-14,61.2,74.1%,1.15,t9rnay,18-17,77.0,66.7%,1.13,danoco,15-20,70.2,66.7%,0.89,Mirage,zqkS,26-16,93.6,79.3%,1.46,SHOOWTiME,20-19,79.3,69.0%,1.19,delboNi,20-18,73.0,75.9%,1.05,f4stzin,20-23,66.7,72.4%,0.99,n1ssim,16-19,68.1,69.0%,0.89,detr0ittJ,20-17,69.1,72.4%,1.08,ckzao,23-23,88.5,72.4%,1.05,danoco,21-23,79.6,62.1%,1.00,realz1n,16-19,64.2,65.5%,0.91,t9rnay,15-22,62.4,72.4%,0.79,Ancient,n1ssim,22-19,80.7,70.4%,1.23,f4stzin,23-18,94.9,77.8%,1.22,SHOOWTiME,18-16,56.1,74.1%,1.12,delboNi,15-17,68.7,85.2%,1.07,zqkS,18-22,77.6,70.4%,0.99,ckzao,24-20,93.0,74.1%,1.27,realz1n,23-17,84.3,77.8%,1.25,detr0ittJ,15-18,61.0,70.4%,0.94,t9rnay,19-23,70.0,59.3%,0.86,danoco,10-19,53.4,63.0%,0.69
25 Mar 01:00 2363270,EG Black,Strife,Nuke,junior,27-8,138.5,85.7%,2.07,Jeorge,23-12,83.1,90.5%,1.49,HexT,18-12,103.2,90.5%,1.48,Walco,13-11,75.6,61.9%,1.08,RUSH,11-11,59.1,71.4%,0.95,aris,16-16,82.6,57.1%,1.18,stamina,11-18,56.0,47.6%,0.69,J0LZ,8-19,55.7,38.1%,0.58,Infinite,10-21,61.4,52.4%,0.54,Snakes,8-18,53.1,52.4%,0.54,Inferno,Jeorge,24-17,85.4,79.3%,1.38,junior,20-13,75.1,89.7%,1.33,HexT,23-17,80.4,65.5%,1.16,RUSH,17-18,72.7,89.7%,1.15,Walco,19-19,70.7,72.4%,0.99,J0LZ,21-17,67.7,72.4%,1.13,Infinite,18-22,76.2,72.4%,1.09,stamina,14-20,54.7,65.5%,0.85,aris,15-21,61.8,62.1%,0.73,Snakes,14-24,62.6,51.7%,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25 Mar 01:00 2363068,Davenport University,Snakes Den,Inferno,RiFT,13-15,70.3,63.2%,0.81,Pugg,11-17,73.5,47.4%,0.69,Danejoris,7-16,51.6,57.9%,0.54,Austin,10-18,58.6,52.6%,0.53,corn,4-16,46.8,47.4%,0.34,Lake,26-9,125.0,78.9%,2.03,bird,18-9,91.3,89.5%,1.68,Cyrix,17-9,81.3,73.7%,1.54,Seb,11-9,69.7,89.5%,1.36,DJF,9-10,66.0,78.9%,1.04,Vertigo,Danejoris,23-17,81.2,78.6%,1.17,corn,18-16,75.2,82.1%,1.15,Pugg,16-20,77.4,64.3%,0.88,RiFT,12-20,53.0,57.1%,0.77,Austin,12-21,56.8,50.0%,0.71,Cyrix,28-14,89.0,78.6%,1.51,DJF,23-13,78.6,67.9%,1.28,bird,15-18,66.0,82.1%,1.04,Lake,14-19,78.4,67.9%,0.98,Seb,14-17,54.1,64.3%,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 Mar 21:20 2363267,Sharks,Meta,Inferno,rdnzao,25-12,97.9,80.8%,1.50,chay,19-15,95.6,80.8%,1.44,togs,19-14,82.9,88.5%,1.30,drg,12-14,55.8,73.1%,0.90,Gafolo,14-15,44.7,73.1%,0.90,abr,13-16,67.5,69.2%,0.96,supLexN1,13-16,49.2,76.9%,0.91,CutzMeretz,15-19,65.6,57.7%,0.87,Alisson,16-17,65.0,61.5%,0.82,dok,12-21,55.7,61.5%,0.73,Anubis,togs,19-18,82.1,70.8%,1.09,Gafolo,16-17,79.3,66.7%,1.06,rdnzao,13-15,73.3,66.7%,0.94,chay,14-16,59.4,62.5%,0.92,drg,10-19,45.1,58.3%,0.57,dok,19-13,92.0,70.8%,1.41,abr,17-16,79.5,75.0%,1.28,supLexN1,17-12,65.2,87.5%,1.27,CutzMeretz,16-16,71.5,54.2%,1.04,Alisson,15-15,63.7,62.5%,0.98,Vertigo,drg,19-11,112.1,100.0%,1.79,togs,20-11,94.8,90.5%,1.61,rdnzao,18-12,88.3,81.0%,1.44,chay,15-15,72.2,81.0%,1.19,Gafolo,11-9,41.4,76.2%,0.96,abr,17-16,97.4,71.4%,1.25,Alisson,12-14,63.6,66.7%,0.87,supLexN1,10-16,57.5,61.9%,0.68,CutzMeretz,10-18,70.4,57.1%,0.66,dok,9-19,47.4,47.6%,0.46
24 Mar 20:10 2363081,FORZE,Monte,Anubis,shalfey,17-20,82.8,54.2%,0.87,zorte,12-16,53.8,70.8%,0.85,Krad,13-19,70.0,70.8%,0.82,Jerry,15-20,61.4,58.3%,0.73,r3salt,5-18,37.8,62.5%,0.53,Woro2k,27-11,114.8,83.3%,1.87,BOROS,22-15,106.8,87.5%,1.62,kRaSnaL,21-14,87.2,87.5%,1.45,sdy,14-11,61.8,91.7%,1.09,DemQQ,9-11,46.2,83.3%,0.96,Overpass,zorte,22-19,63.2,60.7%,1.05,r3salt,14-20,67.4,64.3%,0.90,Krad,17-23,80.6,71.4%,0.90,shalfey,16-20,64.8,64.3%,0.84,Jerry,11-20,49.9,60.7%,0.73,kRaSnaL,23-14,92.5,78.6%,1.42,Woro2k,24-16,83.9,75.0%,1.28,BOROS,23-18,71.8,75.0%,1.24,sdy,17-16,75.2,85.7%,1.11,DemQQ,15-16,65.7,75.0%,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 Mar 19:00 2363082,K23,SAW,Overpass,iDISBALANCE,25-12,100.1,82.8%,1.56,Jyo,22-18,83.8,72.4%,1.21,Raijin,22-20,79.6,79.3%,1.20,X5G7V,18-17,76.2,72.4%,1.06,Magnojez,11-18,43.6,65.5%,0.75,MUTiRiS,22-19,74.4,75.9%,1.07,story,17-18,67.0,65.5%,1.03,JUST,17-20,73.7,75.9%,0.98,ewjerkz,17-20,53.4,69.0%,0.90,roman,12-22,55.5,55.2%,0.72,Ancient,Magnojez,10-18,65.7,56.5%,0.72,iDISBALANCE,10-18,50.2,52.2%,0.69,X5G7V,9-14,45.2,65.2%,0.69,Jyo,10-17,48.5,47.8%,0.55,Raijin,4-16,24.7,47.8%,0.44,ewjerkz,24-11,103.7,91.3%,1.94,JUST,18-8,84.7,95.7%,1.51,story,14-6,65.9,100.0%,1.46,roman,17-7,60.5,82.6%,1.31,MUTiRiS,10-11,59.8,82.6%,1.04,Nuke,Raijin,16-18,65.0,77.8%,0.96,X5G7V,14-17,59.0,81.5%,0.93,Magnojez,16-23,72.0,59.3%,0.89,Jyo,17-20,71.7,55.6%,0.79,iDISBALANCE,12-18,49.0,59.3%,0.73,roman,20-15,91.6,85.2%,1.47,story,20-10,62.3,81.5%,1.28,MUTiRiS,19-14,84.4,74.1%,1.27,ewjerkz,20-19,76.1,77.8%,1.08,JUST,16-17,72.2,77.8%,1.00
24 Mar 19:00 2363078,9INE,1WIN,Mirage,Kylar,15-18,65.0,57.1%,0.89,hades,14-16,76.5,61.9%,0.88,KEi,10-17,60.9,71.4%,0.67,mynio,5-18,50.3,52.4%,0.42,Goofy,7-17,40.9,47.6%,0.41,TRAVIS,26-8,106.3,95.2%,2.06,Forester,16-12,94.2,85.7%,1.42,deko,15-8,78.1,90.5%,1.41,NickelBack,15-10,66.0,85.7%,1.25,Boombl4,14-13,73.4,76.2%,1.16,Nuke,KEi,29-24,105.9,70.0%,1.40,hades,21-14,62.2,73.3%,1.14,Kylar,17-20,75.5,60.0%,0.94,Goofy,15-19,58.2,66.7%,0.87,mynio,12-18,51.2,63.3%,0.80,deko,22-17,78.9,80.0%,1.18,TRAVIS,23-20,80.6,66.7%,1.11,NickelBack,17-19,63.4,63.3%,0.95,Forester,13-16,53.5,70.0%,0.88,Boombl4,20-23,66.6,56.7%,0.86,Overpass,KEi,22-8,90.2,90.9%,1.61,mynio,18-11,92.0,72.7%,1.37,Goofy,17-13,88.6,86.4%,1.27,Kylar,17-13,78.2,77.3%,1.21,hades,12-11,53.2,77.3%,0.91,deko,15-16,65.8,68.2%,0.99,Boombl4,12-19,70.7,63.6%,0.87,NickelBack,10-16,56.5,59.1%,0.76,Forester,10-17,65.7,50.0%,0.75,TRAVIS,9-18,49.8,63.6%,0.65
24 Mar 19:45 2362239,Heroic,Natus Vincere,Anubis,stavn,24-20,83.0,75.9%,1.18,cadiaN,20-21,86.0,69.0%,1.10,TeSeS,16-16,63.5,75.9%,1.05,jabbi,22-21,78.5,69.0%,0.99,sjuush,17-22,62.9,62.1%,0.83,s1mple,25-17,95.4,65.5%,1.47,electroNic,24-21,83.4,65.5%,1.09,Perfecto,21-19,70.6,79.3%,1.08,npl,20-22,77.2,62.1%,1.02,b1t,10-21,56.0,62.1%,0.63,Inferno,stavn,18-18,85.7,66.7%,1.12,TeSeS,14-18,70.2,58.3%,0.92,jabbi,14-17,58.0,62.5%,0.83,sjuush,15-21,61.0,58.3%,0.76,cadiaN,8-21,68.2,54.2%,0.58,b1t,24-14,104.1,91.7%,1.54,s1mple,21-13,100.5,70.8%,1.41,npl,19-15,94.0,79.2%,1.26,electroNic,17-16,84.1,79.2%,1.17,Perfecto,14-12,59.2,79.2%,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
