id,team_1,team_2,map_1,team_1_map_1_player_1,team_1_map_1_player_1_kd,team_1_map_1_player_1_adr,team_1_map_1_player_1_kast,team_1_map_1_player_1_rating,team_1_map_1_player_2,team_1_map_1_player_2_kd,team_1_map_1_player_2_adr,team_1_map_1_player_2_kast,team_1_map_1_player_2_rating,team_1_map_1_player_3,team_1_map_1_player_3_kd,team_1_map_1_player_3_adr,team_1_map_1_player_3_kast,team_1_map_1_player_3_rating,team_1_map_1_player_4,team_1_map_1_player_4_kd,team_1_map_1_player_4_adr,team_1_map_1_player_4_kast,team_1_map_1_player_4_rating,team_1_map_1_player_5,team_1_map_1_player_5_kd,team_1_map_1_player_5_adr,team_1_map_1_player_5_kast,team_1_map_1_player_5_rating,team_2_map_1_player_1,team_2_map_1_player_1_kd,team_2_map_1_player_1_adr,team_2_map_1_player_1_kast,team_2_map_1_player_1_rating,team_2_map_1_player_2,team_2_map_1_player_2_kd,team_2_map_1_player_2_adr,team_2_map_1_player_2_kast,team_2_map_1_player_2_rating,team_2_map_1_player_3,team_2_map_1_player_3_kd,team_2_map_1_player_3_adr,team_2_map_1_player_3_kast,team_2_map_1_player_3_rating,team_2_map_1_player_4,team_2_map_1_player_4_kd,team_2_map_1_player_4_adr,team_2_map_1_player_4_kast,team_2_map_1_player_4_rating,team_2_map_1_player_5,team_2_map_1_player_5_kd,team_2_map_1_player_5_adr,team_2_map_1_player_5_kast,team_2_map_1_player_5_rating,map_2,team_1_map_2_player_1,team_1_map_2_player_1_kd,team_1_map_2_player_1_adr,team_1_map_2_player_1_kast,team_1_map_2_player_1_rating,team_1_map_2_player_2,team_1_map_2_player_2_kd,team_1_map_2_player_2_adr,team_1_map_2_player_2_kast,team_1_map_2_player_2_rating,team_1_map_2_player_3,team_1_map_2_player_3_kd,team_1_map_2_player_3_adr,team_1_map_2_player_3_kast,team_1_map_2_player_3_rating,team_1_map_2_player_4,team_1_map_2_player_4_kd,team_1_map_2_player_4_adr,team_1_map_2_player_4_kast,team_1_map_2_player_4_rating,team_1_map_2_player_5,team_1_map_2_player_5_kd,team_1_map_2_player_5_adr,team_1_map_2_player_5_kast,team_1_map_2_player_5_rating,team_2_map_2_player_1,team_2_map_2_player_1_kd,team_2_map_2_player_1_adr,team_2_map_2_player_1_kast,team_2_map_2_player_1_rating,team_2_map_2_player_2,team_2_map_2_player_2_kd,team_2_map_2_player_2_adr,team_2_map_2_player_2_kast,team_2_map_2_player_2_rating,team_2_map_2_player_3,team_2_map_2_player_3_kd,team_2_map_2_player_3_adr,team_2_map_2_player_3_kast,team_2_map_2_player_3_rating,team_2_map_2_player_4,team_2_map_2_player_4_kd,team_2_map_2_player_4_adr,team_2_map_2_player_4_kast,team_2_map_2_player_4_rating,team_2_map_2_player_5,team_2_map_2_player_5_kd,team_2_map_2_player_5_adr,team_2_map_2_player_5_kast,team_2_map_2_player_5_rating,map_3,team_1_map_3_player_1,team_1_map_3_player_1_kd,team_1_map_3_player_1_adr,team_1_map_3_player_1_kast,team_1_map_3_player_1_rating,team_1_map_3_player_2,team_1_map_3_player_2_kd,team_1_map_3_player_2_adr,team_1_map_3_player_2_kast,team_1_map_3_player_2_rating,team_1_map_3_player_3,team_1_map_3_player_3_kd,team_1_map_3_player_3_adr,team_1_map_3_player_3_kast,team_1_map_3_player_3_rating,team_1_map_3_player_4,team_1_map_3_player_4_kd,team_1_map_3_player_4_adr,team_1_map_3_player_4_kast,team_1_map_3_player_4_rating,team_1_map_3_player_5,team_1_map_3_player_5_kd,team_1_map_3_player_5_adr,team_1_map_3_player_5_kast,team_1_map_3_player_5_rating,team_2_map_3_player_1,team_2_map_3_player_1_kd,team_2_map_3_player_1_adr,team_2_map_3_player_1_kast,team_2_map_3_player_1_rating,team_2_map_3_player_2,team_2_map_3_player_2_kd,team_2_map_3_player_2_adr,team_2_map_3_player_2_kast,team_2_map_3_player_2_rating,team_2_map_3_player_3,team_2_map_3_player_3_kd,team_2_map_3_player_3_adr,team_2_map_3_player_3_kast,team_2_map_3_player_3_rating,team_2_map_3_player_4,team_2_map_3_player_4_kd,team_2_map_3_player_4_adr,team_2_map_3_player_4_kast,team_2_map_3_player_4_rating,team_2_map_3_player_5,team_2_map_3_player_5_kd,team_2_map_3_player_5_adr,team_2_map_3_player_5_kast,team_2_map_3_player_5_rating
11 Apr 14:30 2363627,PGE Turow,Cryptova,Anubis,ultimate,22-17,84.5,80.8%,1.22,darko,18-18,83.7,73.1%,1.09,b1elany,18-18,76.5,73.1%,0.99,gRuChA,16-22,69.2,61.5%,0.85,kadziu,10-21,46.0,53.8%,0.48,bery,22-15,87.7,73.1%,1.44,PR,25-16,85.9,73.1%,1.40,zyored,17-16,69.1,84.6%,1.15,MAXX,18-17,66.1,84.6%,1.11,Darber,14-20,80.8,76.9%,1.06,Vertigo,b1elany,20-12,105.5,78.3%,1.61,gRuChA,20-13,81.8,73.9%,1.45,darko,14-15,82.2,87.0%,1.08,kadziu,18-16,75.0,73.9%,1.03,ultimate,9-13,38.3,65.2%,0.81,zyored,20-13,87.2,69.6%,1.21,Darber,17-18,86.9,52.2%,1.02,MAXX,13-17,65.5,73.9%,0.84,PR,10-16,65.6,65.2%,0.76,bery,7-17,46.3,56.5%,0.50,Ancient,ultimate,22-12,87.1,72.0%,1.47,gRuChA,23-16,93.4,76.0%,1.34,b1elany,21-14,84.2,80.0%,1.28,darko,13-14,58.0,76.0%,0.99,kadziu,10-18,51.3,76.0%,0.83,zyored,20-16,100.2,76.0%,1.26,bery,17-17,82.2,68.0%,1.01,Darber,13-20,56.0,60.0%,0.77,PR,12-21,66.9,56.0%,0.71,MAXX,11-15,44.0,60.0%,0.66
11 Apr 15:30 2363628,Enterprise,MASONIC,Ancient,Pechyn,13-15,65.4,66.7%,0.87,leckr,11-15,62.0,52.4%,0.80,M1key,11-17,69.4,52.4%,0.69,SYSTEM,11-19,54.5,52.4%,0.57,zur1s,9-16,36.7,47.6%,0.54,J3nsyy,23-7,102.7,95.2%,1.87,sirah,22-11,108.8,100.0%,1.76,Anlelele,16-10,86.1,66.7%,1.44,Tauson,12-12,68.4,66.7%,1.05,fr0slev,7-15,40.8,61.9%,0.71,Overpass,SYSTEM,24-19,83.4,75.0%,1.27,Pechyn,15-18,73.8,82.1%,1.04,zur1s,18-19,73.0,64.3%,1.03,M1key,20-23,86.4,64.3%,0.96,leckr,14-22,60.6,82.1%,0.90,Tauson,25-16,99.7,78.6%,1.45,Anlelele,26-21,99.9,82.1%,1.33,J3nsyy,20-12,65.0,85.7%,1.21,sirah,17-23,70.2,60.7%,0.84,fr0slev,13-19,52.5,67.9%,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 Apr 13:10 2363440,Stirlzs Angels,Encore,Ancient,gump,24-21,90.3,72.4%,1.18,toM,18-22,79.1,69.0%,1.00,Drox,20-21,82.7,58.6%,0.99,ObZen,19-18,51.8,65.5%,0.90,callum_murray,9-23,51.2,58.6%,0.56,Hatz,30-15,116.3,82.8%,1.68,TjP,25-22,80.1,69.0%,1.23,SaVage,22-18,61.3,79.3%,1.09,sterling,18-17,75.1,72.4%,1.09,Liki,9-21,65.8,65.5%,0.77,Nuke,ObZen,23-16,64.1,60.0%,1.13,gump,19-24,71.3,66.7%,0.94,callum_murray,16-21,68.9,66.7%,0.89,Drox,16-22,55.9,53.3%,0.82,toM,15-23,56.8,53.3%,0.69,sterling,25-15,76.2,80.0%,1.39,Liki,23-19,93.0,63.3%,1.22,SaVage,20-16,67.1,73.3%,1.12,TjP,22-21,81.8,66.7%,1.04,Hatz,16-19,60.6,63.3%,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 Apr 12:30 2363626,JANO,The Prodigies,Mirage,allu,15-21,88.6,56.5%,0.93,sLowi,13-19,73.7,52.2%,0.75,Alxc,9-20,51.6,47.8%,0.60,ZOREE,8-19,40.0,47.8%,0.54,Sm1llee,10-20,41.0,34.8%,0.40,shield,28-9,94.7,95.7%,1.89,keen,28-9,106.5,87.0%,1.82,fNk,19-14,115.1,78.3%,1.49,P4TriCK,15-15,82.6,78.3%,1.15,krii,8-9,42.5,69.6%,0.85,Inferno,Sm1llee,28-19,92.4,76.7%,1.40,allu,25-16,86.0,83.3%,1.40,sLowi,15-24,64.2,70.0%,0.73,ZOREE,12-20,53.0,70.0%,0.71,Alxc,7-21,35.0,63.3%,0.58,shield,22-10,66.7,86.7%,1.36,P4TriCK,24-22,88.1,83.3%,1.33,krii,20-17,73.7,70.0%,1.10,fNk,18-17,77.5,76.7%,1.07,keen,16-21,65.5,63.3%,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 Apr 12:30 2363579,Astralis Talent,sYnck,Ancient,Kristou,17-7,96.2,100.0%,1.67,Patti,18-5,73.4,83.3%,1.51,br0,16-11,101.6,94.4%,1.50,Altekz,19-10,101.6,83.3%,1.45,MistR,12-9,90.9,83.3%,1.27,eku,16-16,105.6,61.1%,1.18,Wahtzz,7-15,54.8,50.0%,0.61,consss,6-18,65.1,50.0%,0.50,aNdu,7-17,53.6,55.6%,0.47,fejtZ,6-16,31.3,38.9%,0.39,Inferno,Patti,21-15,94.7,82.1%,1.30,Altekz,22-16,82.7,75.0%,1.24,br0,20-20,79.0,71.4%,1.12,Kristou,19-16,59.7,67.9%,1.11,MistR,18-16,68.2,64.3%,1.00,consss,21-20,91.3,64.3%,1.11,fejtZ,16-16,66.2,71.4%,1.02,Wahtzz,18-18,73.7,60.7%,0.97,aNdu,18-23,82.2,57.1%,0.88,eku,10-23,38.3,53.6%,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 Apr 11:30 2363625,BIG Academy,yologang420,Mirage,s1n,28-22,101.5,73.5%,1.32,S3NSEY,30-22,80.0,70.6%,1.26,skyye,19-22,64.2,70.6%,1.00,prosus,17-21,67.8,61.8%,0.89,ArroW,18-20,50.4,67.6%,0.89,jcobbb,24-21,95.2,73.5%,1.24,BNK,24-25,89.5,64.7%,1.10,Pelle,23-22,64.2,79.4%,1.05,next1me,22-22,59.2,70.6%,0.97,Lipton,13-23,42.2,61.8%,0.65,Anubis,S3NSEY,28-15,86.6,78.6%,1.44,prosus,23-17,97.0,78.6%,1.37,ArroW,22-13,79.2,75.0%,1.32,skyye,15-14,62.6,85.7%,1.13,s1n,11-17,61.7,78.6%,0.98,next1me,23-18,73.9,71.4%,1.21,Lipton,16-20,61.4,60.7%,0.83,jcobbb,13-18,61.2,57.1%,0.79,BNK,16-23,60.1,57.1%,0.75,Pelle,8-20,53.1,57.1%,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 Apr 10:00 2363439,Rooster,sunday school,Inferno,nettik,22-20,86.3,73.3%,1.20,Rackem,22-20,74.0,70.0%,1.07,dangeR,20-18,71.8,73.3%,1.04,ADK,19-23,66.0,63.3%,0.95,chelleos,12-21,54.4,66.7%,0.73,nexar,30-17,102.3,86.7%,1.54,supar,20-17,89.2,73.3%,1.22,guag,18-18,60.0,70.0%,0.96,versa,16-21,54.9,66.7%,0.90,rekonz,13-23,63.6,66.7%,0.76,Mirage,chelleos,22-21,83.2,73.3%,1.15,dangeR,20-18,70.9,70.0%,1.07,nettik,19-18,75.7,63.3%,1.04,ADK,14-19,55.8,66.7%,0.84,Rackem,18-21,60.2,60.0%,0.83,nexar,22-17,75.3,73.3%,1.11,guag,19-16,63.0,70.0%,1.08,supar,19-23,79.7,60.0%,1.02,versa,20-18,67.7,60.0%,0.91,rekonz,16-19,64.7,56.7%,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 Apr 10:00 2363580,Zero Tenacity,NAVI Junior,Mirage,nEMANHA,22-10,110.7,80.0%,1.78,aVN,20-8,96.5,85.0%,1.53,simke,19-12,107.6,70.0%,1.48,Cjoffo,13-6,62.5,90.0%,1.27,brutmonster,15-12,77.0,80.0%,1.26,Dem0N,12-18,63.9,50.0%,0.73,nikitea,8-17,57.0,50.0%,0.62,froz1k,11-17,51.0,50.0%,0.57,UNBR0KEN,8-19,51.9,45.0%,0.53,rendY,9-18,47.5,45.0%,0.47,Inferno,simke,21-12,91.5,86.4%,1.52,nEMANHA,19-14,92.1,77.3%,1.33,brutmonster,14-10,71.9,77.3%,1.30,aVN,14-12,66.8,72.7%,1.03,Cjoffo,11-11,66.1,68.2%,1.02,nikitea,12-13,81.4,63.6%,1.00,UNBR0KEN,16-15,69.8,68.2%,0.94,froz1k,14-17,58.3,50.0%,0.72,Dem0N,9-17,56.0,50.0%,0.57,rendY,8-18,43.4,50.0%,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 Apr 13:00 2363574,PROSPECTS,BLINK,Ancient,hype,34-15,102.3,100.0%,1.69,spooke,27-22,107.5,78.6%,1.40,bobeksde,20-18,80.8,75.0%,1.15,FRANSSON,19-16,63.1,60.7%,1.06,Ro1f,16-24,81.9,75.0%,0.99,deb0,26-21,101.5,75.0%,1.33,krabeni,24-26,91.8,75.0%,1.08,BledarD,16-24,71.1,64.3%,0.73,gulito,15-22,61.4,53.6%,0.73,HYPERI1,13-23,52.6,60.7%,0.71,Inferno,hype,25-21,94.4,64.3%,1.27,Ro1f,21-20,71.8,67.9%,1.00,bobeksde,16-18,62.1,64.3%,0.91,FRANSSON,16-20,72.4,60.7%,0.84,spooke,13-22,57.7,53.6%,0.59,deb0,27-20,102.1,75.0%,1.50,BledarD,23-14,69.8,67.9%,1.29,krabeni,22-17,87.5,75.0%,1.24,HYPERI1,15-21,66.3,71.4%,0.93,gulito,14-19,57.6,71.4%,0.91,Vertigo,hype,17-18,80.8,70.8%,0.92,spooke,19-21,83.8,54.2%,0.89,FRANSSON,12-18,67.8,54.2%,0.77,bobeksde,12-19,65.5,45.8%,0.66,Ro1f,9-21,46.9,62.5%,0.54,deb0,25-10,93.1,91.7%,1.75,krabeni,20-16,86.1,79.2%,1.42,BledarD,21-14,75.8,75.0%,1.35,gulito,16-14,88.5,79.2%,1.18,HYPERI1,14-16,71.8,70.8%,1.08
10 Apr 10:00 2363575,IKLA,AGO,Ancient,Kvem,27-16,113.2,88.0%,1.69,kensizor,23-17,113.8,80.0%,1.57,s4ltovsk1yy,19-8,75.9,92.0%,1.39,byr9,19-13,62.2,84.0%,1.21,uQlutzavr,17-16,71.2,72.0%,1.05,tomiko,25-23,101.7,68.0%,1.29,Enzo,15-23,75.8,68.0%,0.77,maaryy,11-21,56.7,64.0%,0.68,asran,9-18,46.5,64.0%,0.62,darchevile,10-20,50.6,56.0%,0.60,Mirage,uQlutzavr,12-15,66.1,50.0%,0.86,s4ltovsk1yy,6-15,56.1,44.4%,0.56,Kvem,6-18,56.1,61.1%,0.53,byr9,6-17,48.0,44.4%,0.46,kensizor,8-18,35.2,44.4%,0.40,maaryy,20-5,95.2,88.9%,1.76,tomiko,20-10,109.3,88.9%,1.60,darchevile,15-7,94.0,83.3%,1.47,asran,15-6,82.1,94.4%,1.44,Enzo,13-10,85.5,72.2%,1.31,Overpass,s4ltovsk1yy,15-14,72.6,76.0%,1.11,Kvem,17-17,76.0,56.0%,1.07,byr9,15-17,76.9,68.0%,0.97,kensizor,18-19,63.4,68.0%,0.88,uQlutzavr,12-17,56.0,64.0%,0.72,asran,21-13,87.0,68.0%,1.34,Enzo,15-13,74.1,72.0%,1.11,maaryy,16-16,79.8,76.0%,1.10,tomiko,20-19,78.7,76.0%,1.06,darchevile,12-17,58.1,68.0%,0.79
