id,team_1,team_2,map_1,team_1_map_1_player_1,team_1_map_1_player_1_kd,team_1_map_1_player_1_adr,team_1_map_1_player_1_kast,team_1_map_1_player_1_rating,team_1_map_1_player_2,team_1_map_1_player_2_kd,team_1_map_1_player_2_adr,team_1_map_1_player_2_kast,team_1_map_1_player_2_rating,team_1_map_1_player_3,team_1_map_1_player_3_kd,team_1_map_1_player_3_adr,team_1_map_1_player_3_kast,team_1_map_1_player_3_rating,team_1_map_1_player_4,team_1_map_1_player_4_kd,team_1_map_1_player_4_adr,team_1_map_1_player_4_kast,team_1_map_1_player_4_rating,team_1_map_1_player_5,team_1_map_1_player_5_kd,team_1_map_1_player_5_adr,team_1_map_1_player_5_kast,team_1_map_1_player_5_rating,team_2_map_1_player_1,team_2_map_1_player_1_kd,team_2_map_1_player_1_adr,team_2_map_1_player_1_kast,team_2_map_1_player_1_rating,team_2_map_1_player_2,team_2_map_1_player_2_kd,team_2_map_1_player_2_adr,team_2_map_1_player_2_kast,team_2_map_1_player_2_rating,team_2_map_1_player_3,team_2_map_1_player_3_kd,team_2_map_1_player_3_adr,team_2_map_1_player_3_kast,team_2_map_1_player_3_rating,team_2_map_1_player_4,team_2_map_1_player_4_kd,team_2_map_1_player_4_adr,team_2_map_1_player_4_kast,team_2_map_1_player_4_rating,team_2_map_1_player_5,team_2_map_1_player_5_kd,team_2_map_1_player_5_adr,team_2_map_1_player_5_kast,team_2_map_1_player_5_rating,map_2,team_1_map_2_player_1,team_1_map_2_player_1_kd,team_1_map_2_player_1_adr,team_1_map_2_player_1_kast,team_1_map_2_player_1_rating,team_1_map_2_player_2,team_1_map_2_player_2_kd,team_1_map_2_player_2_adr,team_1_map_2_player_2_kast,team_1_map_2_player_2_rating,team_1_map_2_player_3,team_1_map_2_player_3_kd,team_1_map_2_player_3_adr,team_1_map_2_player_3_kast,team_1_map_2_player_3_rating,team_1_map_2_player_4,team_1_map_2_player_4_kd,team_1_map_2_player_4_adr,team_1_map_2_player_4_kast,team_1_map_2_player_4_rating,team_1_map_2_player_5,team_1_map_2_player_5_kd,team_1_map_2_player_5_adr,team_1_map_2_player_5_kast,team_1_map_2_player_5_rating,team_2_map_2_player_1,team_2_map_2_player_1_kd,team_2_map_2_player_1_adr,team_2_map_2_player_1_kast,team_2_map_2_player_1_rating,team_2_map_2_player_2,team_2_map_2_player_2_kd,team_2_map_2_player_2_adr,team_2_map_2_player_2_kast,team_2_map_2_player_2_rating,team_2_map_2_player_3,team_2_map_2_player_3_kd,team_2_map_2_player_3_adr,team_2_map_2_player_3_kast,team_2_map_2_player_3_rating,team_2_map_2_player_4,team_2_map_2_player_4_kd,team_2_map_2_player_4_adr,team_2_map_2_player_4_kast,team_2_map_2_player_4_rating,team_2_map_2_player_5,team_2_map_2_player_5_kd,team_2_map_2_player_5_adr,team_2_map_2_player_5_kast,team_2_map_2_player_5_rating,map_3,team_1_map_3_player_1,team_1_map_3_player_1_kd,team_1_map_3_player_1_adr,team_1_map_3_player_1_kast,team_1_map_3_player_1_rating,team_1_map_3_player_2,team_1_map_3_player_2_kd,team_1_map_3_player_2_adr,team_1_map_3_player_2_kast,team_1_map_3_player_2_rating,team_1_map_3_player_3,team_1_map_3_player_3_kd,team_1_map_3_player_3_adr,team_1_map_3_player_3_kast,team_1_map_3_player_3_rating,team_1_map_3_player_4,team_1_map_3_player_4_kd,team_1_map_3_player_4_adr,team_1_map_3_player_4_kast,team_1_map_3_player_4_rating,team_1_map_3_player_5,team_1_map_3_player_5_kd,team_1_map_3_player_5_adr,team_1_map_3_player_5_kast,team_1_map_3_player_5_rating,team_2_map_3_player_1,team_2_map_3_player_1_kd,team_2_map_3_player_1_adr,team_2_map_3_player_1_kast,team_2_map_3_player_1_rating,team_2_map_3_player_2,team_2_map_3_player_2_kd,team_2_map_3_player_2_adr,team_2_map_3_player_2_kast,team_2_map_3_player_2_rating,team_2_map_3_player_3,team_2_map_3_player_3_kd,team_2_map_3_player_3_adr,team_2_map_3_player_3_kast,team_2_map_3_player_3_rating,team_2_map_3_player_4,team_2_map_3_player_4_kd,team_2_map_3_player_4_adr,team_2_map_3_player_4_kast,team_2_map_3_player_4_rating,team_2_map_3_player_5,team_2_map_3_player_5_kd,team_2_map_3_player_5_adr,team_2_map_3_player_5_kast,team_2_map_3_player_5_rating
19 Mar 12:30 2362228,Astralis,Spirit,Nuke,device,20-16,81.0,71.4%,1.22,blameF,21-14,77.1,75.0%,1.19,Buzz,19-22,82.1,57.1%,0.94,gla1ve,7-22,51.6,53.6%,0.56,Xyp9x,10-22,43.5,50.0%,0.48,s1ren,24-12,80.6,82.1%,1.38,chopper,17-17,77.5,75.0%,1.18,w0nderful,19-13,62.9,78.6%,1.14,Patsi,22-21,84.1,64.3%,1.09,magixx,14-14,56.4,71.4%,0.94,Mirage,Buzz,27-18,88.7,70.0%,1.33,device,21-18,74.1,70.0%,1.20,blameF,21-15,75.2,76.7%,1.20,Xyp9x,15-20,63.6,76.7%,0.91,gla1ve,12-19,45.4,76.7%,0.78,w0nderful,26-17,92.1,83.3%,1.35,Patsi,17-22,76.3,76.7%,1.03,s1ren,18-20,64.7,66.7%,1.00,chopper,18-19,64.5,63.3%,0.86,magixx,11-20,42.6,53.3%,0.63,Ancient,device,27-13,85.5,85.7%,1.57,blameF,24-14,95.4,78.6%,1.47,Xyp9x,18-15,78.8,71.4%,1.14,Buzz,19-20,74.2,78.6%,1.12,gla1ve,14-21,62.2,75.0%,0.84,magixx,21-21,91.9,60.7%,1.12,w0nderful,15-18,54.8,57.1%,0.93,chopper,19-21,70.4,64.3%,0.85,s1ren,14-21,57.0,64.3%,0.74,Patsi,9-23,40.9,57.1%,0.51
19 Mar 13:00 2362946,SINNERS,MOUZ NXT,Vertigo,SHOCK,25-16,115.5,84.0%,1.73,oskar,25-14,96.7,88.0%,1.61,Tomkeejs,23-17,88.6,84.0%,1.27,ZEDKO,14-10,53.4,92.0%,1.20,beastik,10-17,57.3,68.0%,0.80,sl3nd,25-17,124.9,76.0%,1.60,Q-Q,20-15,64.7,60.0%,0.99,Jimpphat,10-21,47.7,72.0%,0.66,Chr1zN,10-21,47.2,52.0%,0.54,Nexius,8-23,50.8,52.0%,0.50,Ancient,SHOCK,18-19,95.7,69.6%,1.19,oskar,14-14,56.7,56.5%,0.83,Tomkeejs,9-16,59.3,56.5%,0.73,beastik,13-20,58.1,60.9%,0.66,ZEDKO,7-18,42.6,39.1%,0.42,Nexius,18-15,99.1,78.3%,1.39,Jimpphat,19-12,81.1,82.6%,1.37,Chr1zN,16-10,87.8,87.0%,1.35,sl3nd,21-13,83.9,65.2%,1.29,Q-Q,13-12,55.4,82.6%,1.01,Nuke,ZEDKO,14-19,85.5,54.5%,0.94,oskar,11-16,57.0,50.0%,0.64,Tomkeejs,10-17,66.2,54.5%,0.61,beastik,10-18,45.3,45.5%,0.56,SHOCK,3-19,25.0,22.7%,0.22,Chr1zN,23-9,109.5,77.3%,1.72,Q-Q,18-7,77.3,90.9%,1.54,Jimpphat,16-10,94.2,81.8%,1.46,Nexius,18-12,74.5,81.8%,1.33,sl3nd,14-11,68.8,90.9%,1.24
19 Mar 12:00 2362896,Sprout,Copenhagen Flames,Anubis,lauNX,26-15,106.5,87.5%,1.67,AZR,17-12,79.3,83.3%,1.38,Staehr,16-16,68.3,66.7%,1.06,XELLOW,12-10,43.6,79.2%,1.06,Zyphon,11-13,54.4,75.0%,0.93,TMB,17-16,71.4,70.8%,1.07,raalz,17-15,56.6,79.2%,1.02,b0RUP,13-18,69.1,66.7%,0.89,Farlig,10-16,51.5,66.7%,0.73,birdfromsky,9-17,61.1,66.7%,0.70,Vertigo,AZR,18-22,85.9,69.2%,1.00,lauNX,21-20,80.4,61.5%,0.93,Staehr,15-20,68.5,61.5%,0.86,XELLOW,13-19,49.5,61.5%,0.72,Zyphon,11-21,64.6,57.7%,0.69,raalz,25-17,107.5,84.6%,1.56,b0RUP,23-15,82.4,84.6%,1.43,Farlig,21-12,61.5,76.9%,1.28,TMB,16-16,87.7,76.9%,1.19,birdfromsky,17-18,85.2,73.1%,1.09,Ancient,Zyphon,22-21,103.4,76.9%,1.23,lauNX,18-16,57.6,73.1%,1.09,Staehr,17-19,77.3,69.2%,0.95,AZR,13-22,53.8,73.1%,0.75,XELLOW,12-21,51.8,73.1%,0.68,b0RUP,26-20,97.2,92.3%,1.51,raalz,20-11,74.0,76.9%,1.26,Farlig,20-15,74.5,76.9%,1.21,birdfromsky,17-20,90.8,73.1%,1.13,TMB,16-17,71.8,84.6%,1.04
19 Mar 11:00 2362980,VERTEX,Rooster,Vertigo,hazr,23-18,118.7,84.0%,1.68,pz,22-19,96.9,80.0%,1.34,ADDICT,18-19,67.7,76.0%,1.03,malta,18-19,78.8,64.0%,1.00,BRACE,10-16,41.4,60.0%,0.70,ADK,22-17,93.0,72.0%,1.24,TjP,20-18,84.6,76.0%,1.13,asap,14-20,70.0,76.0%,0.99,nettik,19-19,82.1,60.0%,0.97,Rackem,15-19,64.8,80.0%,0.93,Nuke,pz,26-9,107.9,81.8%,1.80,ADDICT,17-10,87.0,86.4%,1.41,BRACE,18-10,87.9,81.8%,1.39,malta,13-12,60.9,81.8%,0.98,hazr,14-15,70.6,68.2%,0.96,nettik,15-16,67.3,63.6%,0.96,ADK,13-17,65.8,63.6%,0.83,asap,10-16,60.2,59.1%,0.75,Rackem,10-19,55.5,59.1%,0.64,TjP,8-20,56.8,50.0%,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19 Mar 10:00 2362945,Illuminar,Astralis Talent,Overpass,bnox,30-22,94.5,65.7%,1.38,mASKED,24-13,58.3,80.0%,1.27,morelz,29-23,86.7,80.0%,1.25,zaNNN,23-22,74.0,77.1%,1.02,TOAO,15-20,54.1,71.4%,0.83,Kristou,28-19,75.6,74.3%,1.23,Patti,19-24,57.6,68.6%,0.90,br0,17-26,66.4,60.0%,0.81,Altekz,17-24,56.9,65.7%,0.80,MistR,19-28,67.9,57.1%,0.80,Vertigo,morelz,29-18,132.1,85.7%,1.88,bnox,29-13,98.9,78.6%,1.56,mASKED,19-18,61.6,71.4%,1.06,TOAO,18-14,60.0,85.7%,1.06,zaNNN,17-16,57.0,67.9%,0.99,Kristou,22-23,82.9,53.6%,0.98,br0,16-21,63.0,64.3%,0.88,MistR,20-23,57.8,67.9%,0.83,Patti,11-23,70.9,53.6%,0.74,Altekz,10-22,61.5,60.7%,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19 Mar 06:30 2362979,Rooster,Encore,Vertigo,nettik,21-13,92.3,87.0%,1.46,Rackem,20-16,88.5,73.9%,1.38,asap,18-13,76.0,78.3%,1.32,ADK,16-14,84.0,82.6%,1.25,TjP,17-15,74.7,73.9%,1.18,Hatz,18-17,88.1,65.2%,1.08,sterling,16-18,76.8,60.9%,1.01,SaVage,16-17,67.8,69.6%,0.97,ap0c,13-21,61.3,56.5%,0.64,Liki,8-19,46.6,69.6%,0.63,Inferno,nettik,31-25,94.5,82.9%,1.32,TjP,24-24,83.9,71.4%,1.13,ADK,25-24,74.9,85.7%,1.12,asap,18-17,61.9,80.0%,1.06,Rackem,22-25,67.5,68.6%,0.97,sterling,28-24,83.9,74.3%,1.35,ap0c,25-25,81.1,74.3%,1.15,Liki,20-20,67.1,82.9%,1.02,SaVage,19-24,71.7,68.6%,0.90,Hatz,20-28,62.8,60.0%,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19 Mar 01:25 2362951,9z,O PLANO,Inferno,dav1deuS,34-29,108.8,83.3%,1.50,dgt,28-20,85.6,75.0%,1.21,try,26-20,71.5,66.7%,1.09,max,20-25,64.7,66.7%,0.83,buda,14-24,46.4,69.4%,0.76,piriaz1n,39-24,101.0,77.8%,1.56,kNgV-,22-23,67.4,72.2%,1.09,shz,25-23,80.3,69.4%,1.08,Yangue,17-27,47.1,66.7%,0.73,decenty,15-25,53.8,55.6%,0.64,Ancient,dav1deuS,19-10,105.3,78.9%,1.62,try,18-7,77.6,73.7%,1.53,max,14-9,89.6,84.2%,1.44,buda,12-10,74.9,89.5%,1.27,dgt,14-9,77.8,73.7%,1.26,decenty,13-15,84.9,63.2%,0.98,kNgV-,11-15,78.2,63.2%,0.91,shz,8-16,63.4,52.6%,0.53,Yangue,7-15,42.3,42.1%,0.46,piriaz1n,5-17,37.5,36.8%,0.29,Nuke,try,23-9,99.0,86.4%,1.69,dav1deuS,25-16,113.6,81.8%,1.50,max,13-10,68.0,95.5%,1.30,dgt,15-10,72.6,86.4%,1.23,buda,6-12,43.0,68.2%,0.80,Yangue,14-17,77.4,68.2%,1.02,shz,12-15,55.9,63.6%,0.82,kNgV-,13-15,53.4,59.1%,0.78,decenty,9-16,48.1,54.5%,0.70,piriaz1n,9-19,63.1,54.5%,0.64
19 Mar 02:00 2363006,1 JIN,X13,Vertigo,hoggy,20-16,93.1,88.0%,1.29,sacrifice,19-18,73.8,76.0%,1.10,Peeping,15-21,73.6,72.0%,0.96,ZFranks,13-20,68.9,68.0%,0.83,Jason,13-18,55.2,56.0%,0.76,Penguin,33-13,112.9,76.0%,1.84,Andrew,17-16,72.8,68.0%,1.07,Feral,16-16,78.3,72.0%,1.05,Gonzo,17-18,80.8,64.0%,1.05,Drewtheshrew,9-17,77.1,64.0%,0.76,Anubis,sacrifice,22-21,75.3,76.5%,1.06,Jason,22-22,73.2,67.6%,1.01,Peeping,21-28,72.2,61.8%,1.00,hoggy,19-22,60.4,64.7%,0.89,ZFranks,20-27,75.8,55.9%,0.83,Drewtheshrew,29-19,97.7,85.3%,1.39,Penguin,26-23,80.1,76.5%,1.20,Andrew,25-20,78.8,79.4%,1.18,Gonzo,23-24,79.1,73.5%,1.17,Feral,17-18,56.9,76.5%,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19 Mar 00:00 2362981,FURIA Academy,paiN Academy,Nuke,kauez,27-9,124.8,80.0%,2.00,zmb,19-12,104.9,90.0%,1.56,kye,19-11,97.8,85.0%,1.55,Bruninho,19-14,98.8,80.0%,1.41,mello,8-11,42.7,70.0%,0.85,cass1n,11-17,62.6,65.0%,0.83,xureba,13-18,70.7,60.0%,0.74,nyezin,12-20,56.5,65.0%,0.70,gh,12-19,65.3,50.0%,0.68,ph1,9-18,66.7,60.0%,0.57,Mirage,mello,33-27,81.9,73.8%,1.18,kye,34-29,83.0,64.3%,1.16,zmb,30-32,73.1,66.7%,0.96,kauez,24-32,68.0,66.7%,0.79,Bruninho,13-28,43.2,66.7%,0.68,nyezin,32-29,87.4,73.8%,1.24,cass1n,32-21,67.7,69.0%,1.15,ph1,33-29,80.7,78.6%,1.15,xureba,22-29,74.2,78.6%,1.03,gh,29-28,67.2,66.7%,0.97,Vertigo,kye,25-16,92.0,78.6%,1.33,mello,21-15,72.8,67.9%,1.17,zmb,16-12,73.9,75.0%,1.15,kauez,21-20,72.8,71.4%,1.12,Bruninho,13-17,60.4,60.7%,0.85,ph1,20-13,72.0,75.0%,1.29,cass1n,17-18,67.1,67.9%,0.96,xureba,16-21,84.3,53.6%,0.90,gh,12-22,56.4,60.7%,0.73,nyezin,14-22,54.7,64.3%,0.70
19 Mar 00:45 2363018,EG Black,Detonate,Anubis,HexT,24-12,104.0,73.9%,1.60,Jeorge,18-12,83.8,78.3%,1.45,RUSH,18-16,99.4,87.0%,1.45,Walco,20-15,82.9,73.9%,1.35,junior,17-9,66.2,82.6%,1.26,Cryptic,15-19,82.8,65.2%,0.94,freshie,12-20,60.6,73.9%,0.74,SLIGHT,12-19,61.8,56.5%,0.69,brett,13-19,59.7,47.8%,0.62,micro,12-20,50.7,47.8%,0.51,Overpass,HexT,21-19,101.7,67.9%,1.37,junior,21-11,75.4,78.6%,1.35,RUSH,21-20,76.0,64.3%,1.05,Walco,17-17,75.3,67.9%,1.03,Jeorge,17-18,56.8,64.3%,0.90,freshie,20-21,90.6,67.9%,1.04,micro,19-18,68.3,64.3%,1.00,brett,19-18,64.6,60.7%,0.98,Cryptic,16-23,74.1,67.9%,0.97,SLIGHT,10-18,39.8,57.1%,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
