player,kills,deaths,adr,kast,rating,team_on,team_against,map
KENSI,24,17,84.7,71.4%,1.2,Aurora,FORZE,Inferno
M1key,31,22,116.3,80.0%,1.6,Enterprise,Zero Tenacity,Mirage
BRACE,20,10,90.0,86.4%,1.6,VERTEX,Encore,Anubis
cynic,25,10,113.9,86.4%,1.82,Nouns,Party Astronauts,Overpass
SLIGHT,22,20,84.3,64.3%,1.15,Detonate,ATK,Inferno
buda,25,19,92.4,86.2%,1.38,9z,00NATION,Overpass
skullz,30,19,92.9,75.0%,1.32,paiN,FLUFFY AIMERS,Inferno
cxzi,27,21,104.2,69.0%,1.5,Party Astronauts,ATK,Overpass
togs,28,16,85.4,70.0%,1.32,Sharks,paiN Academy,Anubis
MarKE,26,19,87.2,79.3%,1.32,Nouns,Detonate,Inferno
coldzera,27,18,119.1,65.4%,1.57,00NATION,Fluxo,Mirage
proSHOW,15,17,79.6,57.9%,0.91,Corinthians,Case,Vertigo
Kamion,23,11,117.0,90.9%,1.83,DomiNation,LDLC,Inferno
darko,24,16,78.3,78.6%,1.23,PGE Turow,AGO,Vertigo
Noktse,21,19,77.7,70.0%,1.09,BESTIA,FURIA Academy,Overpass
Ganginho,21,15,88.3,74.1%,1.39,Iron Branch,ENCE Academy,Mirage
Spiidi,26,18,75.7,70.6%,1.13,ALTERNATE aTTaX,VISU,Overpass
sh1ro,16,16,68.8,63.6%,1.0,Cloud9,G2,Vertigo
supLexN1,15,16,77.9,65.2%,1.17,Meta,ARCTIC,Nuke
bnox,18,9,102.5,76.2%,1.51,Illuminar,Singularity,Inferno
Krimbo,20,15,79.8,76.9%,1.24,BIG,Vitality,Mirage
eDi,21,17,95.6,78.6%,1.29,VISU,Sampi,Inferno
myltsi,20,8,101.2,90.0%,1.72,ENCE Academy,Nigma Galaxy,Mirage
zorte,24,17,81.4,74.1%,1.3,FORZE,Monte,Anubis
sense,29,17,109.9,78.6%,1.63,Apeks Rebels,Nexus,Overpass
lollipop21k,30,19,100.2,85.3%,1.42,Iron Branch,ESCA,Ancient
SHiPZ,17,19,88.6,54.2%,1.1,500,ENCE,Nuke
Spiidi,24,14,96.0,74.1%,1.39,ALTERNATE aTTaX,BLINK,Anubis
SELLTER,28,24,91.5,82.4%,1.28,Aurora,Eternal Fire,Mirage
sterling,27,12,92.4,87.0%,1.73,Encore,The Big Dogs,Ancient
podi,31,23,79.3,73.2%,1.2,ENCE Academy,JANO,Overpass
INS,31,19,102.3,80.0%,1.61,Grayhound,VERTEX,Mirage
Brollan,20,12,103.5,85.0%,1.81,Ninjas in Pyjamas,Astralis,Nuke
MarKE,28,17,114.9,73.1%,1.64,Nouns,paiN,Inferno
PwnAlone,27,11,95.4,84.0%,1.67,Party Astronauts,Take Flyte,Mirage
dumau,25,20,99.7,72.4%,1.33,00NATION,9z,Anubis
desh,26,12,95.4,80.8%,1.6,INTZ,Fluxo,Ancient
chop,18,16,78.0,57.1%,0.98,Party Astronauts,Nouns,Nuke
empathy,25,23,112.1,66.7%,1.35,Shimmer,Saints,Anubis
Bouchard,24,22,97.4,89.3%,1.32,Detonate SparX,Factor Ruby,Overpass
BiBiAhn,26,9,131.4,100.0%,2.13,ex-CLG Red,byte,Overpass
Moistened,14,17,70.0,55.0%,0.96,Starfish,EG Gold,Ancient
freshie,23,13,101.8,82.6%,1.55,Detonate,Take Flyte,Mirage
n4mie,12,16,74.9,47.1%,0.85,ENDGAME,Black Dragons fe,Ancient
hera,12,14,66.1,57.9%,0.81,W7M fe,MIBR fe,Overpass
yungher,29,7,173.5,94.1%,2.77,B4 fe,LRV fe,Overpass
dav1deuS,21,17,101.5,87.5%,1.46,9z,Fluxo,Nuke
Anlelele,27,20,87.3,75.0%,1.3,MASONIC,JANO,Mirage
coldzera,22,7,119.9,89.5%,2.0,00NATION,INTZ,Nuke
Nea,18,18,83.0,54.5%,1.0,GUILD,G2 Oya,Mirage
tomiko,31,14,95.7,74.1%,1.68,AGO,ESCA,Nuke
bodyy,25,20,96.1,70.0%,1.28,Falcons,B8,Nuke
Qiyarah,17,17,83.7,80.8%,1.13,NIP Impact,BIG EQUIPA,Vertigo
suns1de,12,15,61.8,44.4%,0.79,Spirit fe,Aces,Mirage
Victoria,27,10,114.4,76.9%,1.83,9 Pandas Fearless,VP.Angels,Anubis
vicu,23,10,103.3,95.2%,1.75,NAVI Javelins,Flames Shieldmaidens,Inferno
tory,24,10,105.5,81.8%,1.72,Nigma Galaxy,Astralis fe,Mirage
gRuChA,13,18,85.0,59.1%,0.88,PGE Turow,Cryptova,Anubis
KEi,25,19,94.0,74.1%,1.43,9INE,Vitality,Vertigo
virtuoso,27,19,112.7,76.0%,1.51,Singularity,PACT,Nuke
TeSeS,22,18,85.2,75.0%,1.22,Heroic,Monte,Mirage
simke,33,20,104.2,76.7%,1.53,Zero Tenacity,sYnck,Mirage
sLowi,20,23,85.3,62.1%,1.0,JANO,Enterprise,Inferno
Xyp9x,22,17,89.7,76.9%,1.2,Astralis,Spirit,Mirage
SunPayus,16,2,100.2,93.8%,1.99,ENCE,iNation,Nuke
damyo,27,17,105.7,80.8%,1.51,The Big Dogs,sunday school,Mirage
jcobbb,17,18,86.9,77.3%,1.1,yologang420,Cryptova,Mirage
foggers,22,22,74.2,70.0%,1.02,e-LEMON-ators,Encore,Ancient
spooke,17,5,111.9,94.7%,1.92,PROSPECTS,AGO,Ancient
mopoz,25,20,88.9,62.1%,1.29,Movistar Riders,Iron Branch,Anubis
shield,27,18,93.4,80.0%,1.36,The Prodigies,MASONIC,Mirage
ultimate,22,17,84.5,80.8%,1.22,PGE Turow,Cryptova,Anubis
Pechyn,13,15,65.4,66.7%,0.87,Enterprise,MASONIC,Ancient
gump,24,21,90.3,72.4%,1.18,Stirlzs Angels,Encore,Ancient
allu,15,21,88.6,56.5%,0.93,JANO,The Prodigies,Mirage
Kristou,17,7,96.2,100.0%,1.67,Astralis Talent,sYnck,Ancient
s1n,28,22,101.5,73.5%,1.32,BIG Academy,yologang420,Mirage
nettik,22,20,86.3,73.3%,1.2,Rooster,sunday school,Inferno
nEMANHA,22,10,110.7,80.0%,1.78,Zero Tenacity,NAVI Junior,Mirage
hype,34,15,102.3,100.0%,1.69,PROSPECTS,BLINK,Ancient
Kvem,27,16,113.2,88.0%,1.69,IKLA,AGO,Ancient
zevy,26,16,97.8,77.8%,1.5,paiN,FURIA,Overpass
YEKINDAR,20,17,95.4,74.1%,1.42,Liquid,Nouns,Inferno
Andrea,12,16,57.6,76.2%,0.94,Detonate SparX,Shimmer,Mirage
vsm,24,19,104.4,75.9%,1.37,Fluxo,Paquetá,Overpass
FaNg,24,14,96.2,86.4%,1.52,Complexity,MIBR,Inferno
Dytor,24,19,110.0,80.8%,1.45,ECLOT,SINNERS,Vertigo
alpha,21,11,101.0,81.8%,1.59,Boston crab,Websterz,Nuke
SHOCK,23,13,105.9,90.9%,1.6,SINNERS,Cryptova,Vertigo
bLitz,19,18,94.1,77.8%,1.28,TheMongolz,Rare Atom,Inferno
jkaem,38,36,95.8,83.3%,1.27,Apeks,B8,Vertigo
Twistzz,17,17,66.1,79.2%,1.1,FaZe,MOUZ,Nuke
vhw,15,17,73.5,65.0%,0.83,Apeks Rebels,PGE Turow,Vertigo
sugaR,23,15,103.8,84.6%,1.53,Websterz,K23,Overpass
juanflatroo,27,14,102.2,95.7%,1.81,Bad News Eagles,GamerLegion,Mirage
D0cC,34,18,102.4,86.7%,1.68,Twisted Minds,Rare Atom,Mirage
misutaaa,20,18,96.9,70.8%,1.28,Falcons,OG,Vertigo
smekk-,20,10,123.9,82.4%,1.98,Nexus,EC Brugge,Inferno
bLitz,29,22,88.2,74.3%,1.26,TheMongolz,Grayhound,Anubis
oSee,32,19,81.6,77.1%,1.36,Liquid,FURIA,Nuke
NEKIZ,25,7,104.2,94.1%,2.07,paiN,Fluxo,Mirage
zqkS,20,17,67.4,71.4%,1.11,Flamengo,Nouns,Inferno
meyern,23,20,96.8,60.7%,1.28,BESTIA,MIBR,Anubis
wiz,29,10,116.4,87.5%,1.92,Evil Geniuses,Paquetá,Inferno
hallzerk,22,17,84.4,79.3%,1.29,Complexity,Imperial,Overpass
Darber,16,18,80.6,61.9%,1.05,Cryptova,ECLOT,Ancient
laser,20,22,95.3,52.2%,1.08,Furious,Boca Juniors,Mirage
Mercury,26,15,94.9,75.0%,1.43,Rare Atom,TYLOO,Ancient
