player,kills,deaths,adr,kast,rating,team_on,team_against,map
hype,25,14,104.6,91.3%,1.61,PROSPECTS,HONORIS,Vertigo
Jimpphat,22,20,92.8,73.3%,1.2,MOUZ NXT,Partizan,Vertigo
KSCERATO,22,17,85.6,72.4%,1.23,FURIA,fnatic,Anubis
m0NESY,22,12,97.5,86.4%,1.61,G2,Movistar Riders,Inferno
Krimbo,27,10,95.6,87.5%,1.71,BIG,HAVU,Inferno
Bart4k,18,15,71.2,75.0%,1.15,IHC,Clutch,Inferno
EmiliaQAQ,27,14,105.5,77.8%,1.66,Lynn Vision,FyR,Nuke
kwezz,18,9,102.5,84.2%,1.6,Tricked,NtK,Overpass
SALO_MUX,16,18,62.1,54.5%,0.83,GR,Wings Up,Inferno
dobu,14,18,80.0,55.0%,0.91,Eruption,Newhappy,Anubis
deko,24,9,96.3,90.9%,1.67,1WIN,Illuminar,Mirage
ScrunK,21,13,76.4,77.8%,1.33,Sangal,Into the Breach,Inferno
Lucky,24,13,93.4,84.6%,1.57,HEET,ENCE Academy,Inferno
abdi,12,12,70.1,76.5%,0.92,Young Ninjas,Endpoint,Inferno
malta,22,11,117.0,85.0%,1.88,VERTEX,ex-Antic,Overpass
nosraC,26,19,131.7,76.9%,1.67,Nouns,DNA,Ancient
cxzi,25,18,108.3,69.2%,1.44,Vendetta,timbermen,Mirage
HEN1,25,11,112.2,70.0%,1.86,MIBR,Zero MarksMen,Overpass
roz,24,17,90.8,82.1%,1.29,Fuscão 1500,RED Canids,Inferno
CLASIA,23,13,110.7,81.8%,1.72,yur,Mad Kings,Ancient
Jeorge,23,11,110.9,75.0%,1.64,EG Black,timbermen,Overpass
Infinite,20,12,75.0,84.6%,1.34,Strife,Vendetta,Nuke
micro,28,7,170.1,88.2%,2.68,Detonate,CLG Red,Overpass
naitte,38,27,106.8,80.0%,1.47,ODDIK,Meta,Ancient
asran,19,17,90.9,68.0%,1.05,AGO,SINNERS,Overpass
nawwk,25,7,104.5,86.4%,1.88,Apeks,EYEBALLERS,Overpass
t9rnay,26,15,105.2,76.9%,1.57,RED Canids,Corinthians,Mirage
Kristou,22,11,112.3,84.2%,1.77,Astralis Talent,MASONIC,Overpass
Jyo,21,14,77.0,85.7%,1.31,K23,BIG Academy,Anubis
Patrick,20,20,71.5,74.1%,1.01,500,Endpoint,Mirage
IceBerg,12,16,71.6,62.5%,0.77,Tricked,CEPTER,Vertigo
Altekz,22,21,78.8,63.3%,1.04,Astralis Talent,359,Anubis
sdy,23,16,93.9,82.1%,1.28,Monte,HEET,Ancient
JW,21,11,78.8,72.0%,1.3,EYEBALLERS,Enterprise,Inferno
draken,23,13,73.3,86.2%,1.41,GODSENT,Spirit Academy,Inferno
Kind0,22,15,85.1,80.0%,1.4,iNation,empire goblins,Inferno
maNkz,38,23,109.7,77.1%,1.63,ECSTATIC,Viperio,Nuke
zqkS,22,14,83.0,74.1%,1.36,Flamengo,WINDINGO,Inferno
AtomiK,39,20,108.4,80.6%,1.68,7AM NA,Melly Madness,Inferno
c0llins,30,21,93.5,80.6%,1.36,Partizan,AGO,Ancient
YEKINDAR,25,17,84.9,75.0%,1.39,Liquid,Astralis,Mirage
N20AmZ,30,16,97.3,81.5%,1.7,Melly Madness,REIGN,Mirage
Gonzo,23,12,117.5,95.0%,1.81,X13,7AM NA,Anubis
Farlig,20,18,76.9,57.7%,1.08,Copenhagen Flames,ECSTATIC,Inferno
hybrid,28,19,118.0,70.0%,1.6,359,1WIN,Inferno
Krad,24,22,88.9,75.9%,1.21,FORZE,ENCE,Anubis
ottoNd,15,18,79.2,75.0%,1.06,HAVU,ECSTATIC,Anubis
Buzz,27,18,88.7,70.0%,1.33,Astralis,Spirit,Mirage
SHOCK,18,19,95.7,69.6%,1.19,SINNERS,MOUZ NXT,Ancient
AZR,18,22,85.9,69.2%,1.0,Sprout,Copenhagen Flames,Vertigo
pz,26,9,107.9,81.8%,1.8,VERTEX,Rooster,Nuke
morelz,29,18,132.1,85.7%,1.88,Illuminar,Astralis Talent,Vertigo
nettik,31,25,94.5,82.9%,1.32,Rooster,Encore,Inferno
dav1deuS,19,10,105.3,78.9%,1.62,9z,O PLANO,Ancient
sacrifice,22,21,75.3,76.5%,1.06,1 JIN,X13,Anubis
mello,33,27,81.9,73.8%,1.18,FURIA Academy,paiN Academy,Mirage
HexT,21,19,101.7,67.9%,1.37,EG Black,Detonate,Overpass
CSO,17,19,71.0,60.7%,0.93,TropiCaos,Meta,Nuke
shz,24,18,83.4,75.0%,1.31,O PLANO,Fluxo,Inferno
brett,17,18,71.5,58.3%,0.96,Detonate,timbermen,Mirage
HexT,26,19,107.1,75.9%,1.52,EG Black,Take Flyte,Inferno
tom1jed,23,19,78.4,75.9%,1.22,Furious,Corinthians,Anubis
jR,24,22,100.4,75.9%,1.27,Iron Branch,B8,Nuke
YEKINDAR,26,7,129.2,90.5%,2.29,Liquid,Rare Atom,Mirage
realz1n,20,17,87.3,70.4%,1.2,RED Canids,9z,Ancient
bobeksde,21,9,91.2,90.0%,1.68,PROSPECTS,BIG Academy,Vertigo
Patsi,16,17,82.0,56.5%,0.94,Spirit,Natus Vincere,Nuke
Lucky,30,16,100.9,72.4%,1.52,Tricked,Astralis Talent,Mirage
arTisT,20,19,66.9,63.3%,0.97,Viperio,Young Ninjas,Nuke
SaMey,24,15,86.3,70.4%,1.38,HONORIS,K23,Overpass
CacaNito,23,15,95.0,70.8%,1.49,ATK,Astralis,Mirage
Kristou,25,15,81.4,70.0%,1.33,Astralis Talent,XI,Inferno
mizzy,16,18,67.6,67.9%,0.94,sunday school,Encore,Overpass
Lucky,24,7,94.7,81.0%,1.79,Tricked,CEPTER,Nuke
Tauson,22,15,77.7,85.2%,1.29,MASONIC,XI,Inferno
asap,11,17,62.0,52.4%,0.8,Rooster,VERTEX,Mirage
HeavyGod,28,13,105.0,84.0%,1.66,Endpoint,ECSTATIC,Ancient
PERCY,30,18,117.9,82.1%,1.62,CEPTER,Atlantic,Inferno
br0,22,9,99.2,86.4%,1.73,Astralis Talent,NtK,Ancient
PR1mE,22,10,129.4,84.2%,1.94,Tricked,EHM,Overpass
Liki,26,13,90.0,88.9%,1.61,Encore,VERTEX,Vertigo
nettik,29,11,127.9,78.3%,1.88,Rooster,sunday school,Nuke
Penguin,25,16,107.8,83.3%,1.64,X13,Snakes Den,Nuke
realz1n,18,15,68.7,66.7%,1.09,RED Canids,Corinthians,Overpass
history,23,14,120.5,87.0%,1.69,Fluxo,Furious,Mirage
Gafolo,26,21,73.8,72.2%,1.18,Sharks,TropiCaos,Inferno
SHiNE,32,25,73.8,78.6%,1.15,EYEBALLERS,JANO,Mirage
JamYoung,12,14,74.8,65.0%,0.95,Rare Atom,Natus Vincere,Nuke
supLexN1,27,14,98.4,88.0%,1.66,Meta,Case,Ancient
r1nkle,27,12,102.7,82.6%,1.78,B8,Insilio,Nuke
asran,22,21,75.8,62.1%,1.07,AGO,Nexus,Nuke
DeStiNy,9,15,72.5,61.1%,0.77,Paquetá,O PLANO,Vertigo
shalfey,22,16,70.9,77.8%,1.23,FORZE,Sangal,Inferno
tomaszin,26,16,113.0,77.8%,1.52,Boca Juniors,INTZ,Ancient
Kristou,25,20,70.6,68.6%,1.12,Astralis Talent,BIG Academy,Ancient
w0nderful,19,13,75.2,79.3%,1.28,Spirit,Liquid,Mirage
baz,18,14,72.2,75.0%,1.14,Spirit Academy,Insilio,Vertigo
Gafolo,23,15,94.7,69.6%,1.39,Sharks,Fluxo,Nuke
Chr1zN,24,17,92.5,70.8%,1.39,MOUZ NXT,HEET,Inferno
Kaoday,29,17,104.9,76.7%,1.47,CLG Red,Shimmer,Overpass
piriaz1n,20,19,86.2,70.8%,1.1,O PLANO,CARECAS,Anubis
Bouchard,20,10,103.8,90.0%,1.76,Detonate SparX,Starfish,Inferno
Gafolo,14,15,59.8,72.7%,1.04,Sharks,Meta,Inferno
chjna,23,10,84.6,82.6%,1.59,MIBR fe,Parabellum fe,Inferno
yungher,22,8,118.8,85.0%,1.88,B4 fe,ENDGAME,Nuke
Aerial,33,29,84.4,68.3%,1.15,HAVU,Nexus,Mirage
Buzz,22,9,122.2,94.7%,1.9,Astralis,Natus Vincere,Overpass
Keoz,32,28,77.6,73.2%,1.15,GamerLegion,Astralis Talent,Ancient
t9rnay,26,18,98.3,77.8%,1.47,RED Canids,ARCTIC,Ancient
spooke,40,26,113.1,82.4%,1.65,PROSPECTS,B8,Inferno
EliGE,17,13,93.3,78.3%,1.38,Liquid,ATK,Overpass
t4tty,26,17,78.6,78.6%,1.43,9 Pandas Fearless,GUILD,Vertigo
aiM,19,17,80.2,68.0%,1.07,Flames Shieldmaidens,G2 Oya,Vertigo
Nexius,22,13,124.9,83.3%,1.99,MOUZ NXT,MASONIC,Vertigo
guidimon,17,18,91.2,66.7%,1.1,FUSION,Paquetá,Overpass
D7,25,13,119.4,86.4%,1.88,BIG EQUIPA,Astralis fe,Ancient
dgt,10,15,42.2,36.8%,0.57,9z,fnatic,Overpass
ZywOo,22,11,85.5,87.5%,1.57,Vitality,MIBR,Nuke
torzsi,24,13,67.8,80.0%,1.33,MOUZ,9INE,Ancient
faveN,21,14,94.5,74.1%,1.33,BIG,Heroic,Nuke
JOTA,18,14,71.6,78.6%,1.15,Imperial,TheMongolz,Inferno
headtr1ck,21,12,65.8,79.3%,1.24,Ninjas in Pyjamas,Natus Vincere,Ancient
ragga,18,19,73.3,76.0%,1.03,Nexus,Illuminar,Mirage
sdy,35,30,85.6,83.3%,1.28,Monte,LDLC,Anubis
zont1x,26,17,102.0,82.8%,1.41,Spirit Academy,Let us cook,Vertigo
shyyne,19,11,67.3,74.1%,1.2,Coalesce,Viperio,Mirage
Lucky,25,25,78.3,75.6%,1.11,HEET,ALTERNATE aTTaX,Inferno
Cjoffo,18,20,77.2,65.5%,0.98,Zero Tenacity,ENCE Academy,Mirage
hybrid,20,18,79.8,65.4%,1.08,359,PROSPECTS,Inferno
flusha,25,14,95.1,85.7%,1.47,EYEBALLERS,BIG Academy,Vertigo
DGL,20,20,64.8,73.1%,1.03,Illuminar,Enterprise,Ancient
adamS,20,21,93.4,71.4%,1.06,Nexus,PGE Turow,Vertigo
Vegi,20,18,88.6,81.5%,1.32,Into the Win,HEET,Nuke
Kristou,19,18,67.4,62.1%,1.07,Astralis Talent,Nexus,Overpass
Farlig,22,16,72.8,78.6%,1.18,Copenhagen Flames,Sampi,Ancient
c0llins,17,18,77.4,54.5%,0.96,Partizan,Apeks,Mirage
nEMANHA,22,19,83.9,79.3%,1.19,Zero Tenacity,PROSPECTS,Overpass
AcilioN,16,13,85.1,87.0%,1.36,Tricked,ECLOT,Overpass
dream3r,17,16,75.0,59.1%,1.0,359,Iron Branch,Inferno
sad,25,20,83.6,70.0%,1.21,Iron Branch,ENCE Academy,Inferno
darko,15,15,70.2,75.0%,1.11,PGE Turow,Enterprise,Inferno
b0denmaster,21,16,81.5,75.0%,1.31,ATK,Strife,Inferno
keiz,26,10,101.4,82.6%,1.7,ARCTIC,Paquetá,Nuke
yungher,25,20,92.1,75.9%,1.35,B4 fe,MIBR fe,Nuke
zevy,25,19,77.9,66.7%,1.16,paiN,Strife,Anubis
fokiu,23,20,85.6,83.3%,1.27,W7M Academy,BESTIA,Ancient
kaah,17,20,68.9,74.1%,1.06,FURIA fe,Black Dragons fe,Mirage
chay,17,18,80.9,66.7%,1.1,Sharks,Paquetá,Anubis
jitter,22,19,83.6,78.6%,1.15,timbermen,ATK,Inferno
ponter,17,13,91.6,77.3%,1.43,ARCTIC,FURIA Academy,Nuke
podi,11,16,74.3,66.7%,0.83,ENCE Academy,BLINK,Inferno
max,33,33,79.4,70.2%,1.04,9z,BESTIA,Overpass
Lx,17,5,106.2,100.0%,1.77,Shimmer,Detonate SparX,Nuke
fokiu,19,22,76.7,63.0%,0.92,W7M Academy,MIBR,Anubis
MaLLby,18,12,78.5,79.2%,1.32,ARCTIC,INTZ,Nuke
Kaoday,20,7,95.2,95.0%,1.84,ex-CLG Red,EG Gold,Overpass
vsm,14,21,71.8,75.0%,0.97,Fluxo,Paquetá,Nuke
krii,18,19,89.1,59.3%,1.04,The Prodigies,Sampi,Nuke
D7,12,20,90.0,73.1%,1.01,BIG EQUIPA,9 Pandas Fearless,Overpass
mello,23,9,82.8,87.5%,1.57,FURIA Academy,Boca Juniors,Mirage
J3nsyy,19,18,73.2,69.2%,1.1,MASONIC,ALTERNATE aTTaX,Inferno
rdnzao,21,21,82.3,78.6%,1.05,Sharks,Case,Inferno
ropz,21,16,73.9,76.0%,1.25,FaZe,Cloud9,Inferno
s1n,16,16,65.8,63.0%,0.96,BIG Academy,ENCE Academy,Mirage
HYPERI1,28,25,84.4,71.4%,1.14,BLINK,Nexus,Ancient
MistR,30,22,80.0,85.4%,1.26,Astralis Talent,ENCE Academy,Inferno
buster,25,18,89.9,78.6%,1.35,Cloud9,BIG,Vertigo
kRaSnaL,11,15,57.9,73.9%,0.91,Monte,Vitality,Mirage
darko,21,19,72.3,70.4%,1.07,PGE Turow,Iron Branch,Ancient
cJ,19,13,83.4,81.5%,1.25,Nouns,Party Astronauts,Overpass
hate,12,17,71.1,81.0%,0.9,Mythic,timbermen,Nuke
b0denmaster,22,21,71.2,69.0%,1.01,ATK,Party Astronauts,Ancient
DeStiNy,21,10,101.3,80.0%,1.57,Paquetá,Solid,Inferno
kNgV-,18,15,73.4,85.2%,1.27,O PLANO,INTZ,Vertigo
kennyS,18,15,56.4,70.0%,1.07,Falcons,BIG,Mirage
HeavyGod,15,17,70.2,62.5%,0.96,Endpoint,BIG Academy,Mirage
Elfern,20,17,73.0,82.8%,1.19,VISU,Sampi,Inferno
Lucaozy,12,12,52.2,77.3%,0.9,Fluxo,RED Canids,Inferno
cptkurtka023,11,20,72.7,65.2%,0.77,B8,Cloud9,Vertigo
Twistzz,18,10,80.7,78.3%,1.44,FaZe,Aurora,Overpass
Liazz,20,14,86.6,76.9%,1.36,Grayhound,VERTEX,Inferno
Ax1Le,23,22,80.9,75.0%,1.1,Cloud9,ENCE,Vertigo
Flayy,18,9,82.0,77.3%,1.33,ESCA,Nigma Galaxy,Inferno
m0NESY,11,17,58.3,59.1%,0.79,G2,Vitality,Anubis
darko,16,18,67.1,70.8%,0.95,PGE Turow,PROSPECTS,Ancient
gulito,21,21,80.2,64.3%,1.07,BLINK,Sampi,Inferno
k1to,29,32,82.5,73.8%,1.14,BIG,Ninjas in Pyjamas,Mirage
SELLTER,15,17,55.3,73.1%,0.89,Aurora,FORZE,Nuke
zur1s,22,20,74.0,60.0%,1.12,Enterprise,Zero Tenacity,Inferno
pz,24,14,81.4,78.6%,1.39,VERTEX,Encore,Nuke
Bwills,14,17,68.9,65.2%,0.85,Nouns,Party Astronauts,Nuke
freshie,35,24,80.5,69.0%,1.23,Detonate,ATK,Mirage
dgt,17,10,61.0,88.0%,1.24,9z,00NATION,Mirage
skullz,25,11,115.8,91.3%,1.77,paiN,FLUFFY AIMERS,Anubis
chop,23,14,75.4,75.0%,1.27,Party Astronauts,ATK,Mirage
togs,22,15,98.8,72.0%,1.36,Sharks,paiN Academy,Ancient
Bwills,22,22,81.8,53.6%,0.99,Nouns,Detonate,Mirage
latto,14,12,87.4,77.3%,1.3,00NATION,Fluxo,Ancient
proSHOW,15,19,68.8,61.5%,0.87,Corinthians,Case,Mirage
Aaron,21,17,96.7,76.0%,1.17,DomiNation,LDLC,Nuke
darko,17,15,62.1,61.9%,0.88,PGE Turow,AGO,Overpass
deco,8,15,55.6,61.1%,0.61,BESTIA,FURIA Academy,Mirage
lollipop21k,19,12,84.0,78.3%,1.3,Iron Branch,ENCE Academy,Inferno
awzek,23,13,107.5,86.4%,1.7,ALTERNATE aTTaX,VISU,Inferno
sh1ro,19,18,73.6,86.2%,1.11,Cloud9,G2,Inferno
abr,21,23,65.1,71.4%,0.96,Meta,ARCTIC,Inferno
Demho,22,18,90.6,75.9%,1.25,Illuminar,Singularity,Ancient
faveN,18,19,66.4,76.0%,1.07,BIG,Vitality,Nuke
oopee,23,23,85.3,69.0%,1.09,VISU,Sampi,Ancient
S1rva,17,5,89.7,89.5%,1.67,ENCE Academy,Nigma Galaxy,Vertigo
shalfey,16,19,79.2,72.0%,0.92,FORZE,Monte,Overpass
Tapewaare,11,18,48.6,50.0%,0.55,Apeks Rebels,Nexus,Inferno
lollipop21k,23,21,86.3,72.4%,1.24,Iron Branch,ESCA,Inferno
Rainwaker,30,22,81.4,75.0%,1.19,500,ENCE,Overpass
Spiidi,18,17,75.5,70.8%,0.98,ALTERNATE aTTaX,BLINK,Inferno
Lack1,22,22,93.1,57.1%,1.09,Aurora,Eternal Fire,Anubis
TjP,19,15,83.0,75.0%,1.29,Encore,The Big Dogs,Anubis
podi,22,13,79.3,78.6%,1.38,ENCE Academy,JANO,Nuke
INS,17,12,80.8,83.3%,1.38,Grayhound,VERTEX,Ancient
headtr1ck,17,18,72.2,66.7%,1.03,Ninjas in Pyjamas,Astralis,Vertigo
cJ,32,27,82.3,78.6%,1.17,Nouns,paiN,Nuke
chop,22,16,73.1,72.4%,1.16,Party Astronauts,Take Flyte,Inferno
latto,21,20,86.7,62.1%,1.0,00NATION,9z,Ancient
lub,15,16,69.6,69.2%,0.98,INTZ,Fluxo,Inferno
cxzi,22,21,100.8,65.4%,1.27,Party Astronauts,Nouns,Mirage
empathy,22,18,99.0,76.9%,1.36,Shimmer,Saints,Overpass
Bouchard,20,16,102.3,66.7%,1.28,Detonate SparX,Factor Ruby,Inferno
GooseBreeder,19,13,90.6,95.5%,1.54,ex-CLG Red,byte,Inferno
Moistened,10,17,60.8,68.2%,0.73,Starfish,EG Gold,Inferno
Cryptic,25,19,91.7,82.1%,1.44,Detonate,Take Flyte,Inferno
Sofiaxyz,24,21,76.1,60.0%,1.03,ENDGAME,Black Dragons fe,Overpass
hera,12,15,65.1,59.1%,0.73,W7M fe,MIBR fe,Inferno
goddess,27,17,93.8,73.1%,1.37,B4 fe,LRV fe,Inferno
dav1deuS,20,9,101.1,90.0%,1.7,9z,Fluxo,Mirage
Tauson,24,19,80.7,78.6%,1.27,MASONIC,JANO,Inferno
nqz,16,4,81.5,88.2%,1.6,00NATION,INTZ,Inferno
pullox,20,19,91.3,73.1%,1.29,GUILD,G2 Oya,Nuke
asran,25,22,85.8,73.3%,1.19,AGO,ESCA,Ancient
NBK-,19,12,99.8,80.0%,1.65,Falcons,B8,Overpass
pauliiee,15,17,73.1,73.9%,0.97,NIP Impact,BIG EQUIPA,Overpass
Jammie,20,19,95.2,61.5%,1.17,Spirit fe,Aces,Anubis
Ksu,21,18,111.2,87.5%,1.55,9 Pandas Fearless,VP.Angels,Overpass
Hanka,21,13,85.4,78.3%,1.46,NAVI Javelins,Flames Shieldmaidens,Ancient
twenty3,23,15,97.4,92.3%,1.46,Nigma Galaxy,Astralis fe,Vertigo
darko,19,9,104.3,100.0%,1.72,PGE Turow,Cryptova,Vertigo
Kylar,24,17,86.9,77.8%,1.29,9INE,Vitality,Anubis
virtuoso,17,5,79.5,95.0%,1.63,Singularity,PACT,Vertigo
jabbi,24,20,95.6,73.3%,1.39,Heroic,Monte,Overpass
aVN,27,29,73.5,83.3%,1.12,Zero Tenacity,sYnck,Nuke
Sm1llee,21,21,88.9,72.4%,1.14,JANO,Enterprise,Mirage
device,20,10,97.4,85.7%,1.65,Astralis,Spirit,Ancient
Snappi,23,17,86.2,76.7%,1.25,ENCE,iNation,Mirage
damyo,23,18,88.9,74.1%,1.31,The Big Dogs,sunday school,Ancient
jcobbb,20,16,78.2,69.2%,1.19,yologang420,Cryptova,Anubis
viridian,10,15,63.3,60.0%,0.69,e-LEMON-ators,Encore,Inferno
hype,24,15,79.0,79.3%,1.28,PROSPECTS,AGO,Mirage
alex,14,11,86.4,90.0%,1.39,Movistar Riders,Iron Branch,Inferno
shield,27,17,64.4,71.4%,1.16,The Prodigies,MASONIC,Vertigo
gRuChA,20,13,81.8,73.9%,1.45,PGE Turow,Cryptova,Vertigo
Pechyn,15,18,73.8,82.1%,1.04,Enterprise,MASONIC,Overpass
gump,19,24,71.3,66.7%,0.94,Stirlzs Angels,Encore,Nuke
allu,25,16,86.0,83.3%,1.4,JANO,The Prodigies,Inferno
Altekz,22,16,82.7,75.0%,1.24,Astralis Talent,sYnck,Inferno
prosus,23,17,97.0,78.6%,1.37,BIG Academy,yologang420,Anubis
dangeR,20,18,70.9,70.0%,1.07,Rooster,sunday school,Mirage
nEMANHA,19,14,92.1,77.3%,1.33,Zero Tenacity,NAVI Junior,Inferno
Ro1f,21,20,71.8,67.9%,1.0,PROSPECTS,BLINK,Inferno
s4ltovsk1yy,6,15,56.1,44.4%,0.56,IKLA,AGO,Mirage
skullz,17,19,86.8,83.3%,1.11,paiN,FURIA,Vertigo
EliGE,23,26,91.7,74.3%,1.15,Liquid,Nouns,Ancient
Andrea,20,14,81.4,80.0%,1.38,Detonate SparX,Shimmer,Overpass
history,20,17,75.4,80.0%,1.2,Fluxo,Paquetá,Nuke
FaNg,25,15,81.2,82.1%,1.31,Complexity,MIBR,Nuke
Dytor,22,15,92.2,88.5%,1.48,ECLOT,SINNERS,Overpass
danistzz,22,17,82.2,78.6%,1.27,Boston crab,Websterz,Mirage
SHOCK,17,17,73.1,65.4%,1.02,SINNERS,Cryptova,Anubis
Bart4k,24,15,88.3,77.8%,1.42,TheMongolz,Rare Atom,Mirage
nawwk,19,8,70.6,87.0%,1.47,Apeks,B8,Anubis
ropz,23,11,78.8,84.0%,1.4,FaZe,MOUZ,Ancient
Trax,17,18,79.1,65.4%,1.02,Apeks Rebels,PGE Turow,Ancient
tN1R,22,13,116.9,85.7%,1.79,Websterz,K23,Nuke
gxx-,20,18,59.9,66.7%,0.97,Bad News Eagles,GamerLegion,Ancient
Lobanjica,18,20,98.7,82.6%,1.2,Twisted Minds,Rare Atom,Vertigo
Python,22,18,75.5,69.0%,1.08,Falcons,OG,Mirage
adamS,18,10,112.7,88.9%,1.68,Nexus,EC Brugge,Mirage
bLitz,12,21,75.8,72.0%,0.84,TheMongolz,Grayhound,Inferno
YEKINDAR,17,20,77.4,69.0%,1.02,Liquid,FURIA,Inferno
zevy,22,15,90.8,79.2%,1.38,paiN,Fluxo,Nuke
n1ssim,20,9,106.8,85.7%,1.66,Flamengo,Nouns,Ancient
meyern,21,21,91.6,75.9%,1.17,BESTIA,MIBR,Overpass
neaLaN,21,22,97.7,58.6%,1.19,Evil Geniuses,Paquetá,Mirage
Grim,23,20,86.0,89.3%,1.2,Complexity,Imperial,Nuke
bery,26,22,78.6,63.9%,1.11,Cryptova,ECLOT,Vertigo
laser,21,21,88.5,64.3%,1.2,Furious,Boca Juniors,Nuke
Mercury,19,16,76.0,89.7%,1.24,Rare Atom,TYLOO,Inferno
Twistzz,18,21,81.2,76.7%,1.13,FaZe,Bad News Eagles,Mirage
flamie,26,15,105.8,79.2%,1.63,Boston crab,K23,Vertigo
CYPHER,31,36,82.4,78.6%,1.09,Into the Breach,B8,Mirage
oskar,19,11,67.2,80.0%,1.3,SINNERS,Sampi,Overpass
mds,19,17,85.3,80.0%,1.15,Websterz,MOON,Inferno
misutaaa,20,15,83.4,67.9%,1.2,Falcons,GamerLegion,Inferno
fury5k,32,32,77.9,57.1%,1.02,Eruption,Twisted Minds,Mirage
Pechyn,21,19,77.7,72.4%,1.13,Enterprise,ENCE Academy,Inferno
Qikert,14,19,67.6,66.7%,0.85,Virtus.pro,MOUZ,Ancient
STYKO,20,16,89.4,77.8%,1.27,Apeks,Sprout,Overpass
shyyne,27,17,97.7,85.7%,1.5,Coalesce,JANO,Inferno
TRAVIS,12,19,68.3,56.5%,0.7,1WIN,OG,Overpass
DANK1NG,31,19,74.1,82.9%,1.34,TYLOO,Invictus International,Mirage
BLACKEAGLE,15,14,70.5,75.0%,1.04,Twisted Minds,VERTEX,Overpass
CLASIA,25,18,78.1,76.7%,1.17,yur,Nouns,Mirage
nython,21,13,78.5,80.0%,1.31,Paquetá,Solid,Overpass
exit,16,17,72.4,82.1%,1.15,MIBR,00NATION,Ancient
chelo,15,6,76.0,100.0%,1.82,Imperial,TeamOne,Overpass
bichop,14,20,67.0,60.0%,0.97,WINDINGO,Boca Juniors,Overpass
anarkez,23,18,79.1,73.3%,1.24,ECLOT,Sampi,Inferno
leri511,35,31,60.2,70.8%,1.01,HYDRA,MOON,Anubis
ABM,24,21,92.7,69.0%,1.22,Furious,FUSION,Nuke
alex666,20,19,86.9,70.4%,1.09,B8,fnatic,Nuke
broky,22,21,78.6,77.8%,1.11,FaZe,Natus Vincere,Ancient
ZEDKO,16,14,90.4,81.8%,1.43,SINNERS,Cryptova,Vertigo
tN1R,19,20,83.8,80.8%,1.14,Websterz,Forward,Anubis
ewjerkz,19,11,77.7,82.6%,1.5,SAW,OG,Overpass
XELLOW,25,14,105.7,84.0%,1.61,Sprout,Viperio,Ancient
Wahtzz,22,9,91.7,82.6%,1.56,sYnck,NAVI Junior,Inferno
Patti,15,22,66.4,63.0%,0.9,Astralis Talent,Zero Tenacity,Anubis
7licious,23,10,79.0,85.7%,1.61,EG Gold,Factor Ruby,Overpass
Babs,30,29,79.6,59.5%,1.1,Black Dragons fe,LRV fe,Nuke
GaBi,25,14,98.6,73.1%,1.37,FURIA fe,W7M fe,Mirage
Qiyarah,29,24,90.3,77.1%,1.33,NIP Impact,Spirit fe,Overpass
Liina,20,12,105.5,80.0%,1.54,NAVI Javelins,GUILD,Ancient
Sapec,19,15,89.5,84.0%,1.36,EYEBALLERS,LDLC,Vertigo
RAiLWAY,24,17,97.4,87.5%,1.62,K23,MOON,Anubis
tomiko,25,22,78.9,70.0%,1.19,AGO,BLINK,Mirage
danistzz,18,15,70.1,75.0%,1.2,Boston crab,Forward,Anubis
Maka,18,13,77.2,82.6%,1.38,HEET,PALOMA,Inferno
bobeksde,22,18,84.3,72.4%,1.17,PROSPECTS,IKLA,Vertigo
uhKelsie,32,21,95.0,77.8%,1.3,CLG Red,Shimmer,Inferno
Bouchard,27,15,142.5,90.9%,1.9,Detonate SparX,Starfish,Inferno
yungher,21,16,82.1,82.1%,1.27,B4 fe,ENDGAME,Overpass
zAAz,20,22,83.5,70.0%,1.08,G2 Oya,9 Pandas Fearless,Vertigo
Joanana,12,19,66.9,80.8%,0.93,Astralis fe,Aces,Inferno
DEPRESHN,17,8,64.1,87.0%,1.35,iNation,ENCE Academy,Inferno
ultimate,24,11,104.0,85.7%,1.72,PGE Turow,EC Brugge,Vertigo
smekk-,16,17,78.0,73.1%,0.99,Nexus,Apeks Rebels,Overpass
KalubeR,22,15,93.6,76.0%,1.42,Partizan,Enterprise,Anubis
sh1ro,18,8,86.3,95.7%,1.55,Cloud9,FORZE,Inferno
kiR,8,16,37.6,52.9%,0.47,Tricked,PROSPECTS,Overpass
Sm1llee,19,17,70.5,70.4%,1.07,JANO,ENCE Academy,Mirage
bubble,14,12,94.5,94.7%,1.64,359,Iron Branch,Inferno
leaf,11,19,63.5,54.5%,0.71,Coalesce,Enterprise,Overpass
F1KU,11,13,53.0,56.5%,0.84,OG,Cloud9,Overpass
morelz,22,9,107.3,66.7%,1.84,Illuminar,NtK,Overpass
device,15,17,78.7,69.6%,0.9,Astralis,Cloud9,Mirage
NEOFRAG,21,18,74.5,75.0%,1.01,OG,fnatic,Vertigo
nbqq,22,12,105.1,81.8%,1.75,ECLOT,empire goblins,Vertigo
remix,19,11,72.4,80.0%,1.29,ODDIK,Fuscão 1500,Inferno
zevy,14,15,45.9,64.0%,0.92,paiN,Imperial,Mirage
diozera,19,18,75.8,69.2%,1.04,MIBR Academy,FURIA Academy,Nuke
Tionix,13,16,67.2,63.6%,0.88,GHR,BIG Academy,Vertigo
