id,team_1,team_2,map_1,team_1_map_1_player_1,team_1_map_1_player_1_kd,team_1_map_1_player_1_adr,team_1_map_1_player_1_kast,team_1_map_1_player_1_rating,team_1_map_1_player_2,team_1_map_1_player_2_kd,team_1_map_1_player_2_adr,team_1_map_1_player_2_kast,team_1_map_1_player_2_rating,team_1_map_1_player_3,team_1_map_1_player_3_kd,team_1_map_1_player_3_adr,team_1_map_1_player_3_kast,team_1_map_1_player_3_rating,team_1_map_1_player_4,team_1_map_1_player_4_kd,team_1_map_1_player_4_adr,team_1_map_1_player_4_kast,team_1_map_1_player_4_rating,team_1_map_1_player_5,team_1_map_1_player_5_kd,team_1_map_1_player_5_adr,team_1_map_1_player_5_kast,team_1_map_1_player_5_rating,team_2_map_1_player_1,team_2_map_1_player_1_kd,team_2_map_1_player_1_adr,team_2_map_1_player_1_kast,team_2_map_1_player_1_rating,team_2_map_1_player_2,team_2_map_1_player_2_kd,team_2_map_1_player_2_adr,team_2_map_1_player_2_kast,team_2_map_1_player_2_rating,team_2_map_1_player_3,team_2_map_1_player_3_kd,team_2_map_1_player_3_adr,team_2_map_1_player_3_kast,team_2_map_1_player_3_rating,team_2_map_1_player_4,team_2_map_1_player_4_kd,team_2_map_1_player_4_adr,team_2_map_1_player_4_kast,team_2_map_1_player_4_rating,team_2_map_1_player_5,team_2_map_1_player_5_kd,team_2_map_1_player_5_adr,team_2_map_1_player_5_kast,team_2_map_1_player_5_rating,map_2,team_1_map_2_player_1,team_1_map_2_player_1_kd,team_1_map_2_player_1_adr,team_1_map_2_player_1_kast,team_1_map_2_player_1_rating,team_1_map_2_player_2,team_1_map_2_player_2_kd,team_1_map_2_player_2_adr,team_1_map_2_player_2_kast,team_1_map_2_player_2_rating,team_1_map_2_player_3,team_1_map_2_player_3_kd,team_1_map_2_player_3_adr,team_1_map_2_player_3_kast,team_1_map_2_player_3_rating,team_1_map_2_player_4,team_1_map_2_player_4_kd,team_1_map_2_player_4_adr,team_1_map_2_player_4_kast,team_1_map_2_player_4_rating,team_1_map_2_player_5,team_1_map_2_player_5_kd,team_1_map_2_player_5_adr,team_1_map_2_player_5_kast,team_1_map_2_player_5_rating,team_2_map_2_player_1,team_2_map_2_player_1_kd,team_2_map_2_player_1_adr,team_2_map_2_player_1_kast,team_2_map_2_player_1_rating,team_2_map_2_player_2,team_2_map_2_player_2_kd,team_2_map_2_player_2_adr,team_2_map_2_player_2_kast,team_2_map_2_player_2_rating,team_2_map_2_player_3,team_2_map_2_player_3_kd,team_2_map_2_player_3_adr,team_2_map_2_player_3_kast,team_2_map_2_player_3_rating,team_2_map_2_player_4,team_2_map_2_player_4_kd,team_2_map_2_player_4_adr,team_2_map_2_player_4_kast,team_2_map_2_player_4_rating,team_2_map_2_player_5,team_2_map_2_player_5_kd,team_2_map_2_player_5_adr,team_2_map_2_player_5_kast,team_2_map_2_player_5_rating,map_3,team_1_map_3_player_1,team_1_map_3_player_1_kd,team_1_map_3_player_1_adr,team_1_map_3_player_1_kast,team_1_map_3_player_1_rating,team_1_map_3_player_2,team_1_map_3_player_2_kd,team_1_map_3_player_2_adr,team_1_map_3_player_2_kast,team_1_map_3_player_2_rating,team_1_map_3_player_3,team_1_map_3_player_3_kd,team_1_map_3_player_3_adr,team_1_map_3_player_3_kast,team_1_map_3_player_3_rating,team_1_map_3_player_4,team_1_map_3_player_4_kd,team_1_map_3_player_4_adr,team_1_map_3_player_4_kast,team_1_map_3_player_4_rating,team_1_map_3_player_5,team_1_map_3_player_5_kd,team_1_map_3_player_5_adr,team_1_map_3_player_5_kast,team_1_map_3_player_5_rating,team_2_map_3_player_1,team_2_map_3_player_1_kd,team_2_map_3_player_1_adr,team_2_map_3_player_1_kast,team_2_map_3_player_1_rating,team_2_map_3_player_2,team_2_map_3_player_2_kd,team_2_map_3_player_2_adr,team_2_map_3_player_2_kast,team_2_map_3_player_2_rating,team_2_map_3_player_3,team_2_map_3_player_3_kd,team_2_map_3_player_3_adr,team_2_map_3_player_3_kast,team_2_map_3_player_3_rating,team_2_map_3_player_4,team_2_map_3_player_4_kd,team_2_map_3_player_4_adr,team_2_map_3_player_4_kast,team_2_map_3_player_4_rating,team_2_map_3_player_5,team_2_map_3_player_5_kd,team_2_map_3_player_5_adr,team_2_map_3_player_5_kast,team_2_map_3_player_5_rating
14 Apr 17:15 2363535,B8,Cloud9,Ancient,r1nkle,20-18,66.8,68.0%,1.03,OWNER,15-18,71.7,60.0%,0.93,cptkurtka023,13-20,68.7,48.0%,0.79,alex666,12-17,59.6,68.0%,0.72,amster,9-19,53.2,64.0%,0.69,Ax1Le,23-16,96.4,80.0%,1.45,HObbit,21-16,96.5,60.0%,1.27,buster,16-13,75.6,72.0%,1.12,sh1ro,17-13,67.5,64.0%,1.12,nafany,13-13,65.6,72.0%,1.00,Vertigo,OWNER,19-19,90.6,65.2%,1.10,cptkurtka023,11-20,72.7,65.2%,0.77,alex666,11-19,62.8,65.2%,0.66,amster,12-19,48.4,56.5%,0.64,r1nkle,10-19,43.4,60.9%,0.62,sh1ro,28-11,111.7,87.0%,1.93,Ax1Le,16-12,87.3,87.0%,1.40,nafany,24-17,88.1,78.3%,1.36,HObbit,15-11,70.9,82.6%,1.33,buster,13-12,66.7,87.0%,1.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14 Apr 17:05 2363534,FaZe,Aurora,Ancient,ropz,25-15,92.5,82.8%,1.35,Twistzz,17-16,79.7,72.4%,1.14,rain,22-20,72.6,65.5%,1.04,karrigan,17-21,68.8,65.5%,1.00,broky,16-18,58.1,69.0%,0.91,KENSI,23-19,82.3,75.9%,1.12,Lack1,20-22,82.6,58.6%,0.97,SELLTER,15-16,62.0,72.4%,0.96,Norwi,16-21,76.2,62.1%,0.93,lattykk,16-19,49.3,69.0%,0.88,Overpass,broky,19-9,92.1,78.3%,1.50,Twistzz,18-10,80.7,78.3%,1.44,ropz,17-10,87.0,78.3%,1.40,rain,18-12,75.7,73.9%,1.23,karrigan,10-16,53.5,69.6%,0.78,KENSI,16-16,87.9,65.2%,1.05,SELLTER,9-16,60.0,65.2%,0.81,Norwi,11-17,48.0,56.5%,0.71,Lack1,10-18,65.9,56.5%,0.69,lattykk,10-15,41.2,69.6%,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14 Apr 12:50 2363694,Grayhound,VERTEX,Vertigo,INS,29-21,124.8,72.0%,1.55,Liazz,15-18,72.1,68.0%,0.96,Vexite,16-21,72.1,64.0%,0.88,Sico,8-21,55.7,64.0%,0.61,aliStair,6-22,27.8,36.0%,0.30,pz,22-13,98.4,84.0%,1.50,hazr,23-15,92.8,76.0%,1.37,BRACE,23-15,89.2,72.0%,1.30,malta,16-14,81.5,88.0%,1.20,ADDICT,19-19,76.2,88.0%,1.11,Inferno,Vexite,24-18,95.3,73.1%,1.58,Liazz,20-14,86.6,76.9%,1.36,Sico,20-15,86.0,73.1%,1.27,aliStair,15-14,60.8,69.2%,1.05,INS,17-16,67.0,65.4%,0.96,pz,19-17,63.3,73.1%,1.02,ADDICT,16-18,64.5,69.2%,0.91,malta,16-21,73.7,57.7%,0.87,BRACE,14-19,52.9,73.1%,0.81,hazr,12-22,77.1,57.7%,0.75,Mirage,Vexite,25-13,92.5,76.9%,1.50,INS,18-16,100.7,80.8%,1.38,Liazz,23-15,77.8,80.8%,1.27,aliStair,20-15,66.7,73.1%,1.20,Sico,12-16,61.8,69.2%,0.78,malta,23-16,94.7,69.2%,1.36,pz,18-19,72.4,53.8%,0.92,hazr,14-22,68.5,57.7%,0.78,ADDICT,10-20,41.3,69.2%,0.66,BRACE,10-21,52.2,57.7%,0.58
14 Apr 13:05 2363196,Cloud9,ENCE,Ancient,sh1ro,32-23,86.7,77.1%,1.22,Ax1Le,23-24,80.7,71.4%,1.13,HObbit,21-24,71.9,65.7%,0.93,buster,19-23,65.9,65.7%,0.93,nafany,21-25,66.3,68.6%,0.90,NertZ,34-23,102.6,68.6%,1.40,SunPayus,25-21,70.0,65.7%,1.07,dycha,25-23,77.7,68.6%,1.01,Snappi,17-25,63.8,60.0%,0.84,Maden,16-26,55.7,65.7%,0.75,Vertigo,sh1ro,26-17,83.3,71.4%,1.28,Ax1Le,23-22,80.9,75.0%,1.10,nafany,16-26,78.8,75.0%,1.06,HObbit,15-18,75.2,78.6%,1.03,buster,22-22,78.7,60.7%,0.97,NertZ,28-17,96.7,78.6%,1.45,dycha,21-19,91.7,75.0%,1.24,SunPayus,22-21,77.7,71.4%,1.10,Maden,19-23,86.7,71.4%,1.04,Snappi,14-22,67.8,64.3%,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14 Apr 13:30 2363700,ESCA,Nigma Galaxy,Nuke,Majster,32-20,107.9,85.2%,1.64,bajmi,18-20,88.9,70.4%,1.10,Klameczka,17-20,86.6,63.0%,0.98,Flayy,19-20,68.8,59.3%,0.95,ex1st,13-19,53.3,59.3%,0.82,twenty3,25-19,100.1,77.8%,1.40,vilga,22-22,98.1,74.1%,1.23,Kat,22-19,88.6,66.7%,1.17,ANa,16-21,62.3,63.0%,0.93,tory,13-21,46.9,59.3%,0.58,Inferno,ex1st,20-11,101.2,81.8%,1.64,Flayy,18-9,82.0,77.3%,1.33,Klameczka,17-13,84.4,68.2%,1.23,bajmi,16-8,75.7,81.8%,1.20,Majster,18-10,75.1,81.8%,1.17,tory,16-19,83.7,50.0%,0.88,vilga,9-18,59.3,50.0%,0.75,Kat,11-18,64.3,50.0%,0.63,ANa,8-18,43.1,40.9%,0.55,twenty3,7-17,45.4,45.5%,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14 Apr 12:35 2363197,G2,Vitality,Mirage,m0NESY,20-22,78.9,75.9%,1.12,jks,20-20,73.0,72.4%,1.05,huNter-,17-19,65.7,58.6%,0.89,NiKo,19-25,65.8,69.0%,0.86,HooXi,11-20,58.3,51.7%,0.70,Magisk,32-13,109.8,79.3%,1.68,ZywOo,26-15,94.3,79.3%,1.59,Spinx,21-22,80.5,79.3%,1.13,dupreeh,13-20,58.2,69.0%,0.83,apEX,14-17,58.1,62.1%,0.83,Anubis,huNter-,17-14,77.8,54.5%,1.13,m0NESY,11-17,58.3,59.1%,0.79,NiKo,11-17,63.4,63.6%,0.74,HooXi,8-20,49.6,50.0%,0.55,jks,5-17,26.9,36.4%,0.29,Spinx,19-10,99.6,90.9%,1.66,ZywOo,20-9,68.3,86.4%,1.48,dupreeh,20-10,92.0,72.7%,1.47,Magisk,13-10,87.7,90.9%,1.29,apEX,12-13,66.0,72.7%,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14 Apr 12:30 2363690,PGE Turow,PROSPECTS,Vertigo,ultimate,28-18,83.6,62.1%,1.31,b1elany,19-21,77.7,72.4%,1.10,gRuChA,18-22,84.7,75.9%,1.09,darko,17-17,67.2,75.9%,1.04,kadziu,16-24,57.7,65.5%,0.77,FRANSSON,23-20,91.1,75.9%,1.23,Ro1f,23-18,86.4,75.9%,1.22,bobeksde,23-20,88.1,72.4%,1.20,spooke,19-20,72.8,65.5%,0.94,hype,13-20,52.7,65.5%,0.72,Ancient,ultimate,17-15,67.8,75.0%,1.04,darko,16-18,67.1,70.8%,0.95,b1elany,16-19,70.0,66.7%,0.85,kadziu,14-20,70.0,70.8%,0.83,gRuChA,11-21,62.5,70.8%,0.73,hype,21-12,84.2,91.7%,1.43,Ro1f,16-17,96.2,91.7%,1.29,spooke,19-14,69.5,79.2%,1.22,FRANSSON,18-14,77.0,75.0%,1.20,bobeksde,18-17,74.2,70.8%,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14 Apr 10:00 2363699,BLINK,Sampi,Ancient,deb0,28-25,84.7,58.3%,1.11,BledarD,25-23,72.2,72.2%,1.08,HYPERI1,24-28,70.6,72.2%,0.92,gulito,19-24,59.4,61.1%,0.78,krabeni,19-28,62.6,63.9%,0.73,Blogg1s,33-20,89.4,77.8%,1.53,The eLiVe,29-21,83.8,72.2%,1.18,MATYS,23-23,73.0,66.7%,1.00,sAvana1,21-24,63.3,69.4%,0.96,T4gg3D,20-27,76.7,66.7%,0.91,Inferno,HYPERI1,22-22,83.0,71.4%,1.07,gulito,21-21,80.2,64.3%,1.07,krabeni,20-22,74.2,53.6%,0.87,BledarD,16-20,63.7,64.3%,0.85,deb0,12-22,69.2,60.7%,0.77,Blogg1s,28-17,83.6,75.0%,1.43,The eLiVe,22-17,82.4,85.7%,1.29,T4gg3D,19-17,79.0,57.1%,1.16,MATYS,20-20,83.4,67.9%,1.14,sAvana1,18-22,74.9,67.9%,0.90,Mirage,BledarD,10-15,59.6,47.4%,0.66,gulito,8-19,66.5,42.1%,0.64,krabeni,7-17,55.9,42.1%,0.49,HYPERI1,8-18,46.8,36.8%,0.41,deb0,7-19,52.8,36.8%,0.38,MATYS,24-9,112.5,84.2%,1.93,sAvana1,17-8,102.3,78.9%,1.62,T4gg3D,17-6,84.1,84.2%,1.49,The eLiVe,15-10,91.5,94.7%,1.44,Blogg1s,15-7,80.2,78.9%,1.43
14 Apr 10:00 2363194,BIG,Ninjas in Pyjamas,Vertigo,k1to,19-18,75.4,63.0%,1.09,faveN,19-20,72.4,66.7%,0.94,Krimbo,15-19,70.9,74.1%,0.86,hyped,14-17,42.5,70.4%,0.81,tabseN,13-23,72.3,63.0%,0.75,Brollan,20-17,87.6,77.8%,1.31,headtr1ck,22-14,70.0,85.2%,1.27,REZ,18-15,83.0,70.4%,1.24,Aleksib,18-16,77.3,74.1%,1.08,k0nfig,19-18,70.9,74.1%,1.07,Mirage,hyped,36-29,84.0,71.4%,1.21,k1to,29-32,82.5,73.8%,1.14,tabseN,28-29,85.8,61.9%,1.06,faveN,28-27,58.0,64.3%,0.94,Krimbo,24-28,65.5,66.7%,0.88,REZ,35-24,84.5,71.4%,1.26,headtr1ck,32-29,78.4,64.3%,1.12,k0nfig,29-32,83.0,66.7%,1.05,Brollan,26-28,68.1,69.0%,0.99,Aleksib,22-32,60.8,73.8%,0.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14 Apr 10:00 2363195,Aurora,FORZE,Inferno,KENSI,24-17,84.7,71.4%,1.20,lattykk,18-17,65.8,67.9%,1.05,SELLTER,19-21,87.4,67.9%,0.96,Norwi,11-20,48.5,60.7%,0.69,Lack1,9-25,51.1,57.1%,0.55,Jerry,27-21,95.4,82.1%,1.47,zorte,22-12,78.5,82.1%,1.38,Krad,19-18,87.4,85.7%,1.26,r3salt,16-16,62.6,71.4%,1.02,shalfey,15-17,62.2,78.6%,0.91,Nuke,lattykk,24-16,90.5,65.4%,1.38,SELLTER,15-17,55.3,73.1%,0.89,KENSI,14-21,69.0,61.5%,0.87,Norwi,7-19,51.7,57.7%,0.63,Lack1,8-18,38.2,46.2%,0.53,Krad,22-16,84.6,76.9%,1.24,zorte,20-11,72.4,69.2%,1.22,Jerry,19-15,80.2,61.5%,1.16,shalfey,17-13,66.4,80.8%,1.15,r3salt,13-13,59.8,69.2%,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
