id,team_1,team_2,map_1,team_1_map_1_player_1,team_1_map_1_player_1_kd,team_1_map_1_player_1_adr,team_1_map_1_player_1_kast,team_1_map_1_player_1_rating,team_1_map_1_player_2,team_1_map_1_player_2_kd,team_1_map_1_player_2_adr,team_1_map_1_player_2_kast,team_1_map_1_player_2_rating,team_1_map_1_player_3,team_1_map_1_player_3_kd,team_1_map_1_player_3_adr,team_1_map_1_player_3_kast,team_1_map_1_player_3_rating,team_1_map_1_player_4,team_1_map_1_player_4_kd,team_1_map_1_player_4_adr,team_1_map_1_player_4_kast,team_1_map_1_player_4_rating,team_1_map_1_player_5,team_1_map_1_player_5_kd,team_1_map_1_player_5_adr,team_1_map_1_player_5_kast,team_1_map_1_player_5_rating,team_2_map_1_player_1,team_2_map_1_player_1_kd,team_2_map_1_player_1_adr,team_2_map_1_player_1_kast,team_2_map_1_player_1_rating,team_2_map_1_player_2,team_2_map_1_player_2_kd,team_2_map_1_player_2_adr,team_2_map_1_player_2_kast,team_2_map_1_player_2_rating,team_2_map_1_player_3,team_2_map_1_player_3_kd,team_2_map_1_player_3_adr,team_2_map_1_player_3_kast,team_2_map_1_player_3_rating,team_2_map_1_player_4,team_2_map_1_player_4_kd,team_2_map_1_player_4_adr,team_2_map_1_player_4_kast,team_2_map_1_player_4_rating,team_2_map_1_player_5,team_2_map_1_player_5_kd,team_2_map_1_player_5_adr,team_2_map_1_player_5_kast,team_2_map_1_player_5_rating,map_2,team_1_map_2_player_1,team_1_map_2_player_1_kd,team_1_map_2_player_1_adr,team_1_map_2_player_1_kast,team_1_map_2_player_1_rating,team_1_map_2_player_2,team_1_map_2_player_2_kd,team_1_map_2_player_2_adr,team_1_map_2_player_2_kast,team_1_map_2_player_2_rating,team_1_map_2_player_3,team_1_map_2_player_3_kd,team_1_map_2_player_3_adr,team_1_map_2_player_3_kast,team_1_map_2_player_3_rating,team_1_map_2_player_4,team_1_map_2_player_4_kd,team_1_map_2_player_4_adr,team_1_map_2_player_4_kast,team_1_map_2_player_4_rating,team_1_map_2_player_5,team_1_map_2_player_5_kd,team_1_map_2_player_5_adr,team_1_map_2_player_5_kast,team_1_map_2_player_5_rating,team_2_map_2_player_1,team_2_map_2_player_1_kd,team_2_map_2_player_1_adr,team_2_map_2_player_1_kast,team_2_map_2_player_1_rating,team_2_map_2_player_2,team_2_map_2_player_2_kd,team_2_map_2_player_2_adr,team_2_map_2_player_2_kast,team_2_map_2_player_2_rating,team_2_map_2_player_3,team_2_map_2_player_3_kd,team_2_map_2_player_3_adr,team_2_map_2_player_3_kast,team_2_map_2_player_3_rating,team_2_map_2_player_4,team_2_map_2_player_4_kd,team_2_map_2_player_4_adr,team_2_map_2_player_4_kast,team_2_map_2_player_4_rating,team_2_map_2_player_5,team_2_map_2_player_5_kd,team_2_map_2_player_5_adr,team_2_map_2_player_5_kast,team_2_map_2_player_5_rating,map_3,team_1_map_3_player_1,team_1_map_3_player_1_kd,team_1_map_3_player_1_adr,team_1_map_3_player_1_kast,team_1_map_3_player_1_rating,team_1_map_3_player_2,team_1_map_3_player_2_kd,team_1_map_3_player_2_adr,team_1_map_3_player_2_kast,team_1_map_3_player_2_rating,team_1_map_3_player_3,team_1_map_3_player_3_kd,team_1_map_3_player_3_adr,team_1_map_3_player_3_kast,team_1_map_3_player_3_rating,team_1_map_3_player_4,team_1_map_3_player_4_kd,team_1_map_3_player_4_adr,team_1_map_3_player_4_kast,team_1_map_3_player_4_rating,team_1_map_3_player_5,team_1_map_3_player_5_kd,team_1_map_3_player_5_adr,team_1_map_3_player_5_kast,team_1_map_3_player_5_rating,team_2_map_3_player_1,team_2_map_3_player_1_kd,team_2_map_3_player_1_adr,team_2_map_3_player_1_kast,team_2_map_3_player_1_rating,team_2_map_3_player_2,team_2_map_3_player_2_kd,team_2_map_3_player_2_adr,team_2_map_3_player_2_kast,team_2_map_3_player_2_rating,team_2_map_3_player_3,team_2_map_3_player_3_kd,team_2_map_3_player_3_adr,team_2_map_3_player_3_kast,team_2_map_3_player_3_rating,team_2_map_3_player_4,team_2_map_3_player_4_kd,team_2_map_3_player_4_adr,team_2_map_3_player_4_kast,team_2_map_3_player_4_rating,team_2_map_3_player_5,team_2_map_3_player_5_kd,team_2_map_3_player_5_adr,team_2_map_3_player_5_kast,team_2_map_3_player_5_rating
22 Mar 15:30 2362238,ENCE,G2,Ancient,NertZ,27-20,98.9,73.3%,1.49,dycha,20-15,68.2,80.0%,1.14,Maden,21-21,77.9,66.7%,1.05,SunPayus,17-15,59.4,70.0%,0.99,Snappi,16-21,69.0,70.0%,0.90,NiKo,20-17,71.4,60.0%,1.03,jks,17-21,72.7,86.7%,1.00,m0NESY,20-21,69.1,63.3%,0.97,huNter-,19-25,80.8,66.7%,0.89,HooXi,16-19,47.4,53.3%,0.77,Vertigo,dycha,25-13,97.3,73.1%,1.52,NertZ,20-13,77.4,73.1%,1.30,Maden,16-15,85.6,73.1%,1.24,SunPayus,11-12,43.1,69.2%,0.93,Snappi,11-15,51.9,69.2%,0.85,HooXi,17-17,76.8,76.9%,0.99,NiKo,13-14,61.2,69.2%,0.89,huNter-,14-20,67.5,57.7%,0.83,m0NESY,13-16,52.8,53.8%,0.76,jks,11-16,44.7,50.0%,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22 Mar 13:00 2363062,Newhappy,IHC,Anubis,tutu,25-17,91.7,86.7%,1.36,AhaNg,19-23,77.7,73.3%,1.03,SPine,17-16,58.6,73.3%,1.01,jiejie,18-24,70.6,70.0%,0.93,Tiger,17-21,59.2,53.3%,0.88,Bart4k,29-18,104.9,86.7%,1.56,Annihilation,20-17,68.2,76.7%,1.17,bLitz,20-16,66.0,73.3%,1.07,maaRaa,18-22,65.1,56.7%,0.89,Techno,14-24,56.3,50.0%,0.70,Inferno,AhaNg,58-44,100.5,83.3%,1.43,Tiger,59-49,88.9,74.2%,1.28,tutu,55-41,84.6,68.2%,1.23,jiejie,35-42,60.4,66.7%,0.89,SPine,31-46,53.7,59.1%,0.77,Annihilation,54-42,76.7,69.7%,1.24,bLitz,51-46,88.4,72.7%,1.21,Bart4k,36-47,62.5,69.7%,0.89,Techno,43-54,67.8,71.2%,0.87,maaRaa,36-50,68.9,62.1%,0.78,Mirage,Tiger,13-15,79.7,60.0%,1.02,jiejie,17-17,74.1,65.0%,0.84,tutu,10-15,70.0,65.0%,0.80,AhaNg,12-17,70.8,45.0%,0.73,SPine,3-14,46.5,55.0%,0.46,Techno,28-7,125.8,80.0%,2.26,Annihilation,20-12,101.8,65.0%,1.54,Bart4k,12-10,63.0,70.0%,1.11,bLitz,8-10,52.3,60.0%,0.90,maaRaa,9-16,63.3,60.0%,0.89
22 Mar 14:00 2362993,Sangal,Monte,Mirage,kyuubii,23-13,84.5,80.8%,1.38,Soulfly,20-19,84.0,76.9%,1.23,kory,17-15,83.8,65.4%,1.16,phzy,17-14,69.1,69.2%,1.07,ScrunK,9-19,58.9,61.5%,0.69,Woro2k,20-16,86.9,69.2%,1.15,kRaSnaL,20-18,82.1,65.4%,1.12,DemQQ,17-17,70.1,73.1%,1.01,sdy,13-15,57.3,69.2%,0.89,BOROS,10-20,50.8,57.7%,0.62,Vertigo,phzy,19-17,100.1,69.6%,1.23,Soulfly,21-19,84.4,56.5%,1.16,kory,11-19,61.5,60.9%,0.71,kyuubii,9-21,57.6,47.8%,0.48,ScrunK,6-23,33.1,43.5%,0.29,BOROS,27-13,97.5,87.0%,1.70,Woro2k,22-13,115.5,78.3%,1.65,kRaSnaL,20-15,109.3,91.3%,1.46,sdy,18-12,80.8,87.0%,1.27,DemQQ,12-13,57.7,78.3%,0.97,Ancient,kory,21-19,86.0,66.7%,1.17,phzy,18-14,76.0,75.0%,1.09,kyuubii,14-18,57.5,75.0%,0.88,ScrunK,14-19,71.3,62.5%,0.78,Soulfly,11-19,65.0,54.2%,0.63,sdy,21-10,85.6,79.2%,1.57,BOROS,23-17,111.5,79.2%,1.56,kRaSnaL,28-17,112.4,83.3%,1.53,Woro2k,13-18,63.2,58.3%,0.79,DemQQ,4-16,28.5,66.7%,0.58
22 Mar 13:30 2363071,359,AGO,Nuke,dream3r,22-14,79.4,76.9%,1.23,hybrid,17-17,73.3,61.5%,0.96,shaiK,13-19,63.4,80.8%,0.89,oxygeN,13-19,52.3,61.5%,0.73,bubble,10-21,58.4,69.2%,0.73,tomiko,23-18,76.3,76.9%,1.30,maaryy,19-14,91.5,80.8%,1.23,darchevile,18-15,76.5,69.2%,1.20,Enzo,16-14,73.4,73.1%,1.12,asran,14-15,53.1,76.9%,1.02,Anubis,oxygeN,36-27,109.1,80.6%,1.52,dream3r,24-26,87.9,72.2%,1.03,shaiK,20-24,58.4,61.1%,1.01,hybrid,23-25,67.0,72.2%,0.96,bubble,16-25,63.3,55.6%,0.81,asran,35-21,98.1,88.9%,1.54,maaryy,31-22,104.6,86.1%,1.47,tomiko,28-27,76.0,75.0%,1.08,darchevile,18-23,57.1,66.7%,0.92,Enzo,15-26,56.6,61.1%,0.67,Mirage,shaiK,27-12,102.4,73.9%,1.64,dream3r,21-12,89.1,82.6%,1.51,hybrid,18-10,76.4,82.6%,1.40,oxygeN,15-14,74.7,87.0%,1.26,bubble,12-17,82.0,87.0%,1.18,tomiko,27-17,95.6,73.9%,1.36,maaryy,10-18,53.4,56.5%,0.74,Enzo,9-19,61.8,60.9%,0.69,asran,11-19,50.0,60.9%,0.58,darchevile,8-20,43.2,43.5%,0.53
22 Mar 13:00 2363064,Eruption,Clutch,Inferno,cool4st,23-16,81.8,73.1%,1.22,dobu,17-17,79.8,69.2%,1.13,fury5k,17-20,60.6,73.1%,0.98,yAmi,12-17,58.9,61.5%,0.82,shinobi,8-16,61.0,69.2%,0.79,IMAGINE,22-17,89.4,65.4%,1.32,starDUST,18-16,85.5,69.2%,1.12,hasteka,19-18,66.7,73.1%,1.10,910,13-13,59.4,73.1%,0.96,IZR,14-15,69.0,80.8%,0.94,Anubis,cool4st,24-9,100.7,94.7%,1.82,dobu,22-9,131.3,73.7%,1.81,fury5k,16-10,107.9,100.0%,1.68,yAmi,15-9,71.1,78.9%,1.27,shinobi,10-10,59.5,78.9%,0.92,910,11-16,74.6,52.6%,0.86,IMAGINE,11-19,62.8,63.2%,0.69,IZR,8-16,52.2,31.6%,0.56,hasteka,8-19,51.8,57.9%,0.53,starDUST,8-17,47.8,47.4%,0.51,Nuke,shinobi,25-19,84.7,71.4%,1.24,dobu,21-20,85.0,78.6%,1.13,yAmi,17-19,68.2,75.0%,1.00,fury5k,19-26,73.9,60.7%,0.87,cool4st,12-21,53.7,60.7%,0.72,starDUST,27-18,108.4,71.4%,1.53,IMAGINE,22-18,75.2,67.9%,1.17,910,18-17,70.0,71.4%,1.07,hasteka,23-21,81.8,78.6%,1.05,IZR,15-20,63.6,82.1%,0.92
22 Mar 13:00 2363063,Wings Up,Lynn Vision,Inferno,ChildKing,18-13,88.2,72.7%,1.34,gas,18-11,80.4,81.8%,1.34,Marek,15-11,71.0,77.3%,1.22,lan,16-12,66.6,77.3%,1.20,flying,9-7,48.7,86.4%,1.13,Jee,14-13,68.8,72.7%,1.06,EmiliaQAQ,14-14,63.2,63.6%,0.99,Westmelon,7-17,56.9,63.6%,0.74,Starry,12-16,58.4,59.1%,0.72,z4kr,6-16,44.3,54.5%,0.54,Overpass,gas,12-16,62.5,52.6%,0.66,flying,8-16,44.1,63.2%,0.66,ChildKing,10-18,79.5,57.9%,0.61,lan,6-17,56.8,52.6%,0.57,Marek,5-15,44.7,42.1%,0.45,z4kr,19-12,125.1,89.5%,1.80,Starry,21-8,100.7,73.7%,1.77,Jee,17-5,89.1,100.0%,1.76,EmiliaQAQ,14-7,76.7,84.2%,1.50,Westmelon,11-9,50.5,78.9%,1.11,Nuke,lan,15-20,67.0,66.7%,0.83,ChildKing,15-18,67.9,58.3%,0.79,flying,13-19,55.2,70.8%,0.77,gas,13-19,65.9,58.3%,0.76,Marek,10-19,48.0,54.2%,0.60,Jee,21-10,77.5,95.8%,1.53,Starry,21-13,100.3,83.3%,1.53,EmiliaQAQ,17-12,79.3,75.0%,1.29,z4kr,16-13,74.7,83.3%,1.25,Westmelon,19-18,82.1,79.2%,1.23
22 Mar 13:00 2363065,GR,FyR,Inferno,qqGOD,24-15,80.6,90.0%,1.38,SALO_MUX,26-17,94.1,80.0%,1.33,mediocrity,22-19,90.9,76.7%,1.33,Yakuza,26-20,78.4,76.7%,1.32,weqt2,16-23,56.2,66.7%,0.85,Haski4,25-25,91.5,66.7%,1.17,HellRey,24-21,71.8,70.0%,1.00,ShuFFl,14-25,79.3,46.7%,0.80,Sange,18-22,57.2,66.7%,0.78,ZinGY,12-21,51.0,53.3%,0.65,Mirage,qqGOD,20-9,91.5,81.8%,1.56,mediocrity,19-14,108.5,72.7%,1.45,Yakuza,23-14,88.7,63.6%,1.43,weqt2,15-10,79.3,72.7%,1.33,SALO_MUX,12-10,64.7,81.8%,1.08,ZinGY,16-17,90.5,59.1%,1.07,Haski4,14-16,88.0,72.7%,1.00,Sange,12-18,65.2,59.1%,0.66,HellRey,8-18,29.4,45.5%,0.47,ShuFFl,7-20,35.0,50.0%,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22 Mar 11:00 2362919,Illuminar,Iron Branch,Overpass,TOAO,27-19,91.2,79.3%,1.35,morelz,19-24,75.0,72.4%,0.93,bnox,17-20,66.8,65.5%,0.92,mASKED,14-16,59.4,65.5%,0.86,zaNNN,13-23,47.9,65.5%,0.75,Ganginho,22-15,77.8,75.9%,1.30,nifee,19-16,83.8,75.9%,1.18,jR,23-19,81.8,72.4%,1.15,MaSvAl,21-19,79.4,79.3%,1.08,sad,17-21,60.8,72.4%,0.93,Mirage,mASKED,25-21,71.4,70.6%,1.16,bnox,24-21,80.3,67.6%,1.15,morelz,22-27,70.1,70.6%,0.95,zaNNN,20-28,71.4,58.8%,0.82,TOAO,16-22,54.9,58.8%,0.77,Ganginho,35-21,107.5,82.4%,1.59,sad,26-25,91.7,61.8%,1.10,nifee,22-21,68.2,70.6%,1.04,MaSvAl,18-16,56.2,70.6%,0.96,jR,17-24,60.8,70.6%,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22 Mar 10:00 2363070,K23,Viperio,Anubis,Magnojez,20-19,77.2,69.0%,1.22,Jyo,21-19,89.3,72.4%,1.12,iDISBALANCE,19-16,56.2,82.8%,1.07,X5G7V,18-18,71.2,69.0%,1.00,Raijin,17-17,69.4,69.0%,0.95,Gizmy,25-19,95.9,69.0%,1.32,arTisT,19-17,70.7,75.9%,1.02,Ping,15-18,62.9,69.0%,0.95,MMS,17-19,68.9,65.5%,0.94,Extinct,12-22,40.4,55.2%,0.74,Nuke,Magnojez,26-11,100.5,87.5%,1.59,Jyo,24-16,98.3,87.5%,1.52,iDISBALANCE,19-12,67.2,91.7%,1.29,X5G7V,15-11,81.9,83.3%,1.19,Raijin,14-16,78.7,75.0%,0.98,MMS,17-19,81.7,62.5%,0.92,Gizmy,16-18,72.8,50.0%,0.81,Extinct,10-21,62.0,62.5%,0.77,Ping,12-19,64.0,50.0%,0.75,arTisT,11-21,54.6,50.0%,0.58,Inferno,Jyo,30-15,117.1,79.2%,1.78,Magnojez,21-14,95.3,79.2%,1.37,Raijin,17-16,87.4,75.0%,1.28,X5G7V,19-13,75.7,91.7%,1.25,iDISBALANCE,10-12,51.0,70.8%,0.94,MMS,15-17,79.5,62.5%,1.04,Ping,18-20,70.2,62.5%,1.00,Extinct,14-21,69.1,62.5%,0.77,Gizmy,10-21,61.4,66.7%,0.75,arTisT,10-20,54.1,45.8%,0.50
22 Mar 11:00 2362992,BIG,Apeks,Ancient,tabseN,22-16,106.2,69.6%,1.35,Krimbo,13-14,60.1,73.9%,0.91,faveN,15-20,72.3,73.9%,0.88,k1to,10-19,70.1,60.9%,0.69,hyped,11-19,44.3,52.2%,0.56,jkaem,23-12,100.2,82.6%,1.54,jL,18-16,94.9,82.6%,1.35,kyxsan,18-14,75.0,73.9%,1.27,nawwk,15-14,72.2,73.9%,1.17,STYKO,14-15,63.9,73.9%,0.98,Inferno,tabseN,30-25,91.6,83.3%,1.29,k1to,24-19,74.2,77.8%,1.22,Krimbo,28-27,95.4,69.4%,1.18,faveN,24-29,67.1,75.0%,0.96,hyped,21-27,53.6,66.7%,0.86,nawwk,33-22,90.6,75.0%,1.32,jkaem,27-24,92.0,72.2%,1.14,kyxsan,22-24,58.9,75.0%,0.96,STYKO,23-26,68.4,72.2%,0.92,jL,20-31,76.1,63.9%,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
